size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00025907793065369677,0.2827172827172827,1.2434656168429137
3,0.00022748422495570035,0.4005994005994006,1.1365523613663988
4,0.00019995358622668254,0.5074925074925075,0.9938868280499749
5,0.00017615048246301775,0.6013986013986014,0.8312427977316018
6,0.00022385925337422636,0.5274725274725275,0.873825654344372
7,0.00035742507560328066,0.4965034965034965,1.0289036156676117
8,0.00042089036714908435,0.5984015984015985,0.8933461823474381
9,0.0004609307829980932,0.6053946053946054,0.8220319003698221
10,0.0005019361804037632,0.6063936063936064,0.8989259000324875
11,0.0005277884097462219,0.6133866133866134,0.9391851298872784
12,0.0005489358514373278,0.6113886113886113,0.9378241281633075
13,0.0005588180055198106,0.5254745254745254,0.9122153402468886
14,0.0006493972666978965,0.4745254745254745,1.0539149500079745
15,0.0006473817464016007,0.46153846153846156,1.0751527366229436
16,0.0006433383631186277,0.45554445554445555,1.0955100761951901
17,0.0006247988725542296,0.46153846153846156,1.0739532318342535
18,0.0006172548993174467,0.4565434565434565,1.0808940506143554
19,0.0006077328248536946,0.4565434565434565,1.0772582451337596
20,0.0006024080991833537,0.44755244755244755,1.0816412359564216
21,0.0005898704393224466,0.4385614385614386,1.0780329607828358
22,0.0005742362163167631,0.4435564435564436,1.0752365863895794
23,0.000557763716444545,0.45454545454545453,1.0558635662280358
24,0.0005429904722271233,0.4565434565434565,1.0472204198202795
25,0.0005269504315016019,0.46653346653346656,1.0383712184523668
26,0.0005160212174076622,0.4645354645354645,1.044553876532296
27,0.0005019177516297998,0.46253746253746253,1.0404876455815637
28,0.0004848721398480424,0.47152847152847155,1.032826796468189
29,0.00046863384182607216,0.47352647352647353,1.0315327851098077
30,0.0004495488095630059,0.47652347652347654,1.0265538077806342
