size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0001859573562098052,0.6333666333666333,0.8977293576746251
3,0.00018677775081617733,0.5784215784215784,0.926995413018286
4,0.00018873197232781302,0.5354645354645354,0.9492415187020775
5,0.00015859554263649822,0.6473526473526473,0.8035749714013134
6,0.00014043657824841022,0.8311688311688312,0.642090570999029
7,0.0001232134312698132,0.8951048951048951,0.39707972809447595
8,0.00011078428900208667,0.935064935064935,0.23514133220595546
9,0.00010109736543350365,0.9560439560439561,0.18029878345102665
10,0.00018986056021334395,0.7432567432567433,0.3400244525771446
11,0.00039190541218575646,0.6493506493506493,0.727924177742494
12,0.00039244482248275734,0.6583416583416584,0.7077553363661787
13,0.00034747207592431256,0.6903096903096904,0.6273937630515857
14,0.00041206012598061614,0.6623376623376623,0.7663145117289707
15,0.0003828136170506523,0.6893106893106893,0.6908937483774485
16,0.00040314994498757934,0.6803196803196803,0.7417382084898104
17,0.0003902135534078351,0.6913086913086913,0.7327186436520758
18,0.0003774575532199381,0.6983016983016983,0.7246603561741451
19,0.0003635152576541901,0.7172827172827173,0.6973138920744848
20,0.00035619933395836223,0.7242757242757243,0.6815748290271262
21,0.00038471211534831423,0.7042957042957043,0.748376081200147
22,0.0004330361986060523,0.6723276723276723,0.8583037942454692
23,0.0004472420432109847,0.6563436563436563,0.9024099340806196
24,0.0004336179803926952,0.6693306693306693,0.8906467928861845
25,0.0004205443699475849,0.6703296703296703,0.8712774445423105
26,0.00041038854493261637,0.6743256743256744,0.8701083928346048
27,0.00041200802746634474,0.6673326673326674,0.8938513241919211
28,0.00041041154168617585,0.5604395604395604,0.9148447477533429
29,0.0004031015222143561,0.5524475524475524,0.9247467585188163
30,0.00039868741546056493,0.5454545454545454,0.9450835514960376
