size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0001859573562098052,0.6263736263736264,0.8930685540430265
3,0.00018677775081617733,0.5714285714285714,0.9221733673436621
4,0.00018873197232781302,0.5374625374625375,0.9534008342747088
5,0.00015859554263649822,0.6643356643356644,0.7603822737702488
6,0.00014043657824841022,0.8421578421578422,0.5795155428580173
7,0.0001232134312698132,0.8971028971028971,0.39707972809447595
8,0.00011078428900208667,0.9410589410589411,0.23514133220595546
9,0.00010109736543350365,0.965034965034965,0.18029878345102665
10,0.00018986056021334395,0.7552447552447552,0.3400244525771446
11,0.00039190541218575646,0.6393606393606394,0.727924177742494
12,0.00039244482248275734,0.6583416583416584,0.7077553363661787
13,0.00034747207592431256,0.6893106893106893,0.6273937630515857
14,0.00041206012598061614,0.6603396603396603,0.7569111975776972
15,0.0003828136170506523,0.6843156843156843,0.6956999697561416
16,0.00040314994498757934,0.6713286713286714,0.7381387244689548
17,0.0003902135534078351,0.6863136863136863,0.7288545434374191
18,0.0003774575532199381,0.7142857142857143,0.7141873605788639
19,0.0003635152576541901,0.7322677322677322,0.7016407671601586
20,0.00035619933395836223,0.7442557442557443,0.6844579470852227
21,0.00038471211534831423,0.7192807192807192,0.7548598027510264
22,0.0004330361986060523,0.6743256743256744,0.8701530322131531
23,0.0004472420432109847,0.6533466533466533,0.9148596355699193
24,0.0004336179803926952,0.6623376623376623,0.8951793957070366
25,0.0004205443699475849,0.6723276723276723,0.8767883728211048
26,0.00041038854493261637,0.6763236763236763,0.8743384146800727
27,0.00041200802746634474,0.6633366633366633,0.9003803081714019
28,0.00041041154168617585,0.5614385614385614,0.9147242818221706
29,0.0004031015222143561,0.5494505494505495,0.9227367543859114
30,0.00039868741546056493,0.5464535464535465,0.9477650296355676
