size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00360310192983748,0.09290709290709291,5.119174165763541
3,0.007770341214949084,0.2097902097902098,2.4804032999112287
4,0.005745264211364644,0.26673326673326675,1.7721608950505139
5,0.004141399600234158,0.3156843156843157,1.432837419403086
6,0.003641336606781495,0.3166833166833167,1.3560675066489074
7,0.0029283908372816506,0.3826173826173826,1.24381788543999
8,0.002445865381891145,0.4305694305694306,1.095346030799441
9,0.0020780795071299344,0.4915084915084915,1.0079208799344235
10,0.0017826992870667918,0.5294705294705294,0.9494052225599255
11,0.0015547967775073211,0.5674325674325674,0.8908728197720555
12,0.001513766986727899,0.5444555444555444,0.9360807181211487
13,0.0013926784518528453,0.7852147852147852,0.6492558819232579
14,0.0012781873799692716,0.7952047952047953,0.6212761109573082
15,0.0012474477817160426,0.7562437562437563,0.6475959337650425
16,0.0012576399565052546,0.7492507492507493,0.6960664892065382
17,0.0011646069128767372,0.7602397602397603,0.6861862007885456
18,0.001080734465743893,0.7622377622377622,0.6827378527318314
19,0.0010045804917748348,0.7672327672327672,0.683301444627876
20,0.0009350989496744362,0.7662337662337663,0.6858573592609899
21,0.0008736596778993526,0.7722277722277723,0.6895754360271766
22,0.0008190665709938032,0.7852147852147852,0.6947330640541919
23,0.0007704891162935001,0.7962037962037962,0.7008882010471706
24,0.0007271012965771407,0.8001998001998002,0.7063657318618681
25,0.0006879944602338555,0.8041958041958042,0.6960654422583471
26,0.0006527801367704048,0.8291708291708292,0.6900457028177536
27,0.0006207735534830483,0.8391608391608392,0.690147338489546
28,0.0005968034494993079,0.8421578421578422,0.6970931351527022
29,0.0006114194681728026,0.8081918081918081,0.749422908420934
30,0.0005981378637217977,0.8091908091908092,0.7688140330145282
