size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00025907793065369677,0.8031968031968032,0.21919873406460058
3,0.0016193784495171252,0.7302697302697303,0.3867295220566471
4,0.0019331911709796602,0.7872127872127872,0.500678954613332
5,0.0019286008017790335,0.7662337662337663,0.5743584754390137
6,0.0021045379640056592,0.7082917082917083,0.7029059221275689
7,0.002016427479001177,0.6793206793206793,0.731400033618671
8,0.0018244112379649615,0.6993006993006993,0.7165576289562511
9,0.001638503087577444,0.7212787212787213,0.7064072160066964
10,0.0014766904906429487,0.7492507492507493,0.6709544704005613
11,0.0013301517060819604,0.7642357642357642,0.6651965457450626
12,0.0012096420047395856,0.8021978021978022,0.6375106703035269
13,0.0011097608094781791,0.8471528471528471,0.6093469168483988
14,0.0010247945188457054,0.8591408591408591,0.611887366619513
15,0.0009514121681420211,0.8671328671328671,0.6040165189686122
16,0.0008878247823867268,0.8771228771228772,0.5934025092363742
17,0.000831539244025687,0.8881118881118881,0.5849426359814852
18,0.0007815351481783101,0.8951048951048951,0.5730896714377753
19,0.0007373628581818357,0.9050949050949051,0.5713908695224953
20,0.0006981076002103806,0.9050949050949051,0.5768590876326668
21,0.0006625318489836375,0.906093906093906,0.5799059786640215
22,0.000630361763133702,0.9070929070929071,0.5782365461686642
23,0.0006014188532926449,0.9230769230769231,0.581735366381911
24,0.0005747891579381578,0.926073926073926,0.5749519909214216
25,0.0005502689495965165,0.9300699300699301,0.567251460049302
26,0.00052765686386989,0.9310689310689311,0.5708006136269916
27,0.0005067400882976039,0.9330669330669331,0.5734857096193727
28,0.00048741173053018283,0.936063936063936,0.5731869646836025
29,0.0004693128621661278,0.9410589410589411,0.575241431508506
30,0.0004525110133323807,0.9460539460539461,0.5816331622593454
