size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00025907793065369677,0.27722772277227725,1.2101923013094784
3,0.00022748422495570035,0.4752475247524752,1.130956559885061
4,0.00019995358622668254,0.5544554455445545,0.9730572088500299
5,0.00017615048246301775,0.6039603960396039,0.8054980098592239
6,0.00022385925337422636,0.5247524752475248,0.9564420575378788
7,0.00035742507560328066,0.4752475247524752,1.1446570868508599
8,0.00042089036714908435,0.594059405940594,0.8933461823474381
9,0.0004609307829980932,0.6039603960396039,0.8220319003698221
10,0.0005019361804037632,0.5643564356435643,0.8989259000324875
