size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00025907793065369677,0.8161838161838162,0.2427467221189948
3,0.0016193784495171252,0.7182817182817183,0.4138753690631438
4,0.0019331911709796602,0.7632367632367633,0.5162527302088271
5,0.0019286008017790335,0.7732267732267732,0.5822076374138826
6,0.0021045379640056592,0.7302697302697303,0.6870116260981949
7,0.002016427479001177,0.6943056943056943,0.7355384338418886
8,0.0018244112379649615,0.7052947052947053,0.7431228851043425
9,0.001638503087577444,0.7302697302697303,0.7315864204322702
10,0.0014766904906429487,0.7432567432567433,0.725643834377194
11,0.0013301517060819604,0.7752247752247752,0.6762928698835953
12,0.0012096420047395856,0.8021978021978022,0.665957977490127
13,0.0011097608094781791,0.8341658341658341,0.6106834343170848
14,0.0010247945188457054,0.8421578421578422,0.6095072193854073
15,0.0009514121681420211,0.8461538461538461,0.6028948325518795
16,0.0008878247823867268,0.8581418581418582,0.5952428306320839
17,0.000831539244025687,0.8711288711288712,0.5892478203104946
18,0.0007815351481783101,0.8821178821178821,0.5761934335835854
19,0.0007373628581818357,0.8851148851148851,0.571121591110417
20,0.0006981076002103806,0.8891108891108891,0.5754834465743427
21,0.0006625318489836375,0.8941058941058941,0.5754879014152456
22,0.000630361763133702,0.8991008991008991,0.5759325367103015
23,0.0006014188532926449,0.9170829170829171,0.5800990495865526
24,0.0005747891579381578,0.922077922077922,0.5782462138534519
25,0.0005502689495965165,0.9230769230769231,0.5677834575851585
26,0.00052765686386989,0.9230769230769231,0.5707714176942476
27,0.0005067400882976039,0.926073926073926,0.5713193664715258
28,0.00048741173053018283,0.9310689310689311,0.572813042479604
29,0.0004693128621661278,0.9250749250749251,0.575241431508506
30,0.0004525110133323807,0.9270729270729271,0.5816331622593454
