size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0001859573562098052,0.8491508491508492,0.16924957900054058
3,0.00018677775081617733,0.8851148851148851,0.04751386744824108
4,0.00044182037518903814,0.8721278721278721,0.11909195663417678
5,0.001002458015271073,0.9590409590409591,0.30210807068248635
6,0.0014558625066430765,0.9010989010989011,0.4939672320677985
7,0.0015146690840336413,0.8761238761238761,0.5536258598960302
8,0.0014669345635775308,0.8671328671328671,0.595927871908788
9,0.0013794596517744838,0.8611388611388612,0.6061549431528799
10,0.0012577447098348284,0.8651348651348651,0.6160515123015325
11,0.0030799192960002603,0.1978021978021978,1.5926511528642304
12,0.002686826255494571,0.2217782217782218,1.4942533977352497
13,0.0023588740273599944,0.32967032967032966,1.2453579423944567
14,0.0020929475131056985,0.35864135864135865,1.2063463353221642
15,0.0018718736279533163,0.4115884115884116,1.147779161220432
16,0.0016882698592673828,0.44655344655344653,1.100056624529435
17,0.0015332710935074786,0.46553446553446554,1.0247024274050596
18,0.0014005214644994051,0.4995004995004995,1.0029024568591447
19,0.0012861377159286624,0.5324675324675324,0.9733930661636322
20,0.0011871416318671839,0.5674325674325674,0.9617768496407859
21,0.00109903196163042,0.5954045954045954,0.9146742572387435
22,0.0010190655390330133,0.6203796203796204,0.891232041276646
23,0.0009474128528423106,0.6353646353646354,0.874165489202853
24,0.0008836712758587973,0.6433566433566433,0.8584706291072981
25,0.0008268177979526398,0.6693306693306693,0.8365173405660167
26,0.0007753369015381192,0.6753246753246753,0.8195989231372504
27,0.0008289376370384754,0.6073926073926074,0.921574543190554
28,0.0007891428535117994,0.6103896103896104,0.9217541659643638
29,0.000752268671635056,0.6183816183816184,0.9220631745591741
30,0.0007173092938157745,0.6333666333666333,0.9219905385454894
