size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00016428349060658009,0.7572427572427572,0.7973211153024269
3,0.00017390853707668162,0.6163836163836164,0.8829229033606915
4,0.0001636806730023842,0.6503496503496503,0.8473498354127216
5,0.00014834426228435975,0.7012987012987013,0.786506998415572
6,0.00013687666282967997,0.8451548451548452,0.6876829340919024
7,0.00013117155172394064,0.8621378621378621,0.4227263501672613
8,0.0001845266918598798,0.6903096903096904,0.3916606997466284
9,0.00022137856783410116,0.6733266733266733,0.39481035229224115
10,0.0002337888721581468,0.6963036963036963,0.4186964011107708
11,0.0002578187601548247,0.6993006993006993,0.47887195011059575
12,0.0002421462755799506,0.7252747252747253,0.43669914572623825
13,0.00023420131236338528,0.7472527472527473,0.4228726647585065
14,0.00022492469167438467,0.7712287712287712,0.4193552054288908
15,0.00021348448428428518,0.7942057942057942,0.40184322285218804
16,0.00020378569553000455,0.8241758241758241,0.38462536658862156
17,0.0001972111355156537,0.8421578421578422,0.37752722453488646
18,0.00018777141356725194,0.8741258741258742,0.36235287814629613
19,0.0001784717070139988,0.8971028971028971,0.34678918538168996
20,0.0001744250360801934,0.906093906093906,0.34196250090556324
21,0.0001643550404648947,0.9210789210789211,0.32490450463784315
22,0.00015558632681334235,0.9370629370629371,0.3114715386082246
23,0.00015753200111922615,0.9410589410589411,0.32165915243075005
24,0.00015952920542321682,0.9430569430569431,0.3311424548157743
25,0.0001634000716710189,0.9460539460539461,0.34441126640820346
26,0.00016847346792926948,0.9440559440559441,0.3618903891598437
27,0.00017368154223518754,0.945054945054945,0.38248513143909657
28,0.00017948884467100504,0.9440559440559441,0.4066224365813347
29,0.00018508209794923112,0.9470529470529471,0.4293486282731051
30,0.00020827248676857381,0.9330669330669331,0.5025630531092575
