size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00025907793065369677,0.7812187812187812,0.2351182849641274
3,0.0016193784495171252,0.7112887112887113,0.4158342306685805
4,0.0019331911709796602,0.7452547452547452,0.5200897197522965
5,0.0019286008017790335,0.7492507492507493,0.5922439867452933
6,0.0021045379640056592,0.6823176823176823,0.7007317920655053
7,0.002016427479001177,0.6593406593406593,0.7261384114761791
8,0.0018244112379649615,0.6773226773226774,0.7256871170907775
9,0.001638503087577444,0.6973026973026973,0.7251414916537342
10,0.0014766904906429487,0.7222777222777222,0.6971193411338715
11,0.0013301517060819604,0.7422577422577422,0.6763134368450614
12,0.0012096420047395856,0.7622377622377622,0.6666473095648288
13,0.0011097608094781791,0.8471528471528471,0.5847989664574694
14,0.0010247945188457054,0.8531468531468531,0.5825491930120751
15,0.0009514121681420211,0.8611388611388612,0.5617222606164175
16,0.0008878247823867268,0.8781218781218781,0.5586382203278278
17,0.000831539244025687,0.8891108891108891,0.5540864352782039
18,0.0007815351481783101,0.903096903096903,0.5522821523716668
19,0.0007373628581818357,0.9140859140859141,0.5495282957472272
20,0.0006981076002103806,0.9150849150849151,0.5514433275215481
21,0.0006625318489836375,0.9200799200799201,0.5510249928063208
22,0.000630361763133702,0.922077922077922,0.5555964683774978
23,0.0006014188532926449,0.9340659340659341,0.5569368270919177
24,0.0005747891579381578,0.945054945054945,0.5583972496329864
25,0.0005502689495965165,0.9460539460539461,0.5567242498315209
26,0.00052765686386989,0.9470529470529471,0.5577794589110995
27,0.0005067400882976039,0.9430569430569431,0.5633702036472128
28,0.00048741173053018283,0.9460539460539461,0.5693187122670664
29,0.0004693128621661278,0.951048951048951,0.575241431508506
30,0.0004525110133323807,0.952047952047952,0.5787863319568489
