size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0001859573562098052,0.9020979020979021,0.16001802067719922
3,0.00018677775081617733,0.9330669330669331,0.0469485491618505
4,0.00044182037518903814,0.9280719280719281,0.11527323166077562
5,0.001002458015271073,0.952047952047952,0.2880296006934667
6,0.0014558625066430765,0.8751248751248751,0.47191602553367046
7,0.0015146690840336413,0.8461538461538461,0.5427373718178236
8,0.0014669345635775308,0.8321678321678322,0.6007168271740161
9,0.0013794596517744838,0.8331668331668332,0.6159769730214176
10,0.0012577447098348284,0.8471528471528471,0.6164374848600732
11,0.0030799192960002603,0.2037962037962038,1.5745927130697883
12,0.002686826255494571,0.22777222777222778,1.4904954753183681
13,0.0023588740273599944,0.2907092907092907,1.3072691553297637
14,0.0020929475131056985,0.32867132867132864,1.2560440119664757
15,0.0018718736279533163,0.3836163836163836,1.2160841734146084
16,0.0016882698592673828,0.4125874125874126,1.1349697135944166
17,0.0015332710935074786,0.42957042957042957,1.0917148934178589
18,0.0014005214644994051,0.45854145854145856,1.0377670954786578
19,0.0012861377159286624,0.4935064935064935,1.017941433004077
20,0.0011871416318671839,0.5244755244755245,0.9821977364957972
21,0.00109903196163042,0.5624375624375625,0.9531584038503701
22,0.0010190655390330133,0.5874125874125874,0.924987260284167
23,0.0009474128528423106,0.6063936063936064,0.9125674156667855
24,0.0008836712758587973,0.6173826173826173,0.8661698526278354
25,0.0008268177979526398,0.6313686313686314,0.8488575193606763
26,0.0007753369015381192,0.6413586413586414,0.8313110208274542
27,0.0008289376370384754,0.5774225774225774,0.921574543190554
28,0.0007891428535117994,0.5794205794205795,0.9217541659643638
29,0.000752268671635056,0.5854145854145855,0.9220631745591741
30,0.0007173092938157745,0.6013986013986014,0.917444850044636
