clique_size,model_type,strength
5,gene,6.851942498739886e-05
5,all,0.0
10,tf,0.00014603323867286443
10,non_gene,0.00021486805764133396
10,gene,3.281692949450123e-05
10,all,0.0
5,tf,0.00038594270346002256
5,non_gene,8.095866352049924e-05
5,gene,8.784743927266867e-05
5,all,7.888529457348011e-05
10,tf,0.00013249237943018934
10,non_gene,4.529994455628597e-05
10,gene,4.515615674938846e-05
10,all,8.198163258395558e-05
5,tf,0.000748295040346766
5,non_gene,0.0
5,gene,0.0
5,all,0.0002313050847962515
10,tf,0.0001909767838172134
10,non_gene,0.0
10,gene,0.0
10,all,7.979030113419674e-05
5,tf,0.00011212893328504191
5,non_gene,3.5891530336288596e-05
5,gene,5.113456514265301e-05
5,all,5.576148579347791e-05
10,tf,7.394908701572311e-05
10,non_gene,3.1525097266847104e-05
10,gene,3.137528307011605e-05
10,all,3.3454698069893735e-05
5,tf,0.00010097351607573244
5,non_gene,3.083694835432399e-05
5,gene,0.0
5,all,6.594519619865148e-05
10,tf,7.474140378624761e-05
10,non_gene,3.263629387311372e-05
10,gene,0.0
10,all,3.850927461305943e-05
5,tf,5.954459035856864e-05
5,non_gene,0.00027919282057248414
5,gene,0.000756926439555034
5,all,0.0
10,tf,4.6654533178890684e-05
10,non_gene,8.322121110150688e-05
10,gene,0.0001812031008778729
10,all,0.0
5,tf,0.0006611662492006182
5,non_gene,0.00012439010388043905
5,gene,6.241233850681441e-05
5,all,0.00028209756119756295
10,tf,0.00018525627423682361
10,non_gene,4.681976993726004e-05
10,gene,5.547136499136536e-05
10,all,8.362581466034197e-05
5,tf,0.00013819326147950403
5,non_gene,4.642036291051449e-05
5,gene,0.0004261165031727289
5,all,0.00010328406317625363
10,tf,8.203022045067615e-05
10,non_gene,3.503246233611916e-05
10,gene,0.00011300232285915089
10,all,4.6732341155263286e-05
5,tf,3.2350351636359225e-05
5,non_gene,0.0002528918537711436
5,gene,0.0006405535683289919
5,all,0.002248963762964596
10,tf,2.0736266605189408e-05
10,non_gene,7.496831158393186e-05
10,gene,0.00018760009710351962
10,all,0.000619434097311343
5,tf,0.00043089086221439804
5,non_gene,0.0
5,gene,0.0011934950176868352
5,all,0.00011637869199731054
10,tf,0.0001090750161998079
10,non_gene,0.0
10,gene,0.0005186956408729558
10,all,5.693103225150044e-05
5,tf,0.0001165138407266371
5,non_gene,0.0007854420171641474
5,gene,5.7463844235712604e-05
5,all,0.0
10,tf,5.142173339665491e-05
10,non_gene,0.00019203377500553561
10,gene,3.642954693353195e-05
10,all,0.0
5,tf,0.00019851064155159128
5,non_gene,0.0001235338419312679
5,gene,0.00029722778127885547
5,all,0.0
10,tf,6.84073869101968e-05
10,non_gene,4.469599860627103e-05
10,gene,0.00012094235061978898
10,all,0.0
5,tf,0.0003761343905211183
5,non_gene,7.710565839557185e-05
5,gene,0.00028003691959399877
5,all,5.0423026267439777e-05
10,tf,0.00014659871958801207
10,non_gene,4.948958839988817e-05
10,gene,8.945975683644081e-05
10,all,3.1102218501997204e-05
5,tf,0.00036382002722367535
5,non_gene,0.00076319452714713
5,gene,0.00027210943277192597
5,all,5.0398627090437e-05
10,tf,0.00015202013911228292
10,non_gene,0.0001866293435451934
10,gene,9.192873111714333e-05
10,all,3.697196358051682e-05
5,tf,0.00015895764299330806
5,non_gene,7.263487361907667e-05
5,gene,3.166634717227157e-05
5,all,0.00013918548371168673
10,tf,0.00014720509841523147
10,non_gene,3.5398123132318797e-05
10,gene,2.2592691327777888e-05
10,all,5.049879720476133e-05
5,tf,4.581553564894762e-05
5,non_gene,0.00041342764621897044
5,gene,0.0006566857930056082
5,all,5.683298400503539e-05
10,tf,3.636120043101744e-05
10,non_gene,0.00010757318970296438
10,gene,0.00019623663906874567
10,all,3.222547562458843e-05
5,tf,0.0002820228573521306
5,non_gene,0.00019791512726923156
5,gene,0.0003257646780396613
5,all,0.0003042228565064241
10,tf,9.516511170355633e-05
10,non_gene,7.00547297953621e-05
10,gene,8.241970370763743e-05
10,all,8.133292473305056e-05
5,tf,0.0009339750542925367
5,non_gene,0.0
5,gene,4.894285003237606e-05
5,all,0.00045437993831388984
10,tf,0.000668870576421245
10,non_gene,0.0
10,gene,3.041303731655306e-05
10,all,0.00012158330895395246
5,tf,3.846795131545709e-05
5,non_gene,6.287982696540698e-05
