clique_size,model_type,strength
5,tf,0.00510865155755129
5,non_gene,0.0019945889681494003
5,gene,0.004501217481586773
5,all,0.0031279742111184118
10,tf,0.002118341117981656
10,non_gene,0.0019132671345541928
10,gene,0.002286374380703077
10,all,0.003929630066689792
5,tf,0.006102608117883518
5,non_gene,0.001162536967800584
5,gene,0.0015692038686429572
5,all,0.007201099934099469
10,tf,0.002384842073467161
10,non_gene,0.0014245881006774248
10,gene,0.000954274019355027
10,all,0.004842520476599307
5,tf,0.008718503822134417
5,non_gene,0.001162536967800584
5,gene,0.009047605867752459
5,all,0.002793040265568764
10,tf,0.0024176918017969158
10,non_gene,0.0014245881006774248
10,gene,0.0025719310544825916
10,all,0.0042504580996165
5,tf,0.003039706997417428
5,non_gene,0.0019823008835737808
5,gene,0.0017124723142723502
5,all,0.001162536967800584
10,tf,0.002480642197210861
10,non_gene,0.0019112759122057366
10,gene,0.0011932715436149932
10,all,0.0014245881006774248
5,tf,0.0011693004311042923
5,non_gene,0.0023861069724689732
5,gene,0.001162536967800584
5,all,0.0018595562989398517
10,tf,0.0015780201938825522
10,non_gene,0.0015163522034253966
10,gene,0.0014245881006774248
10,all,0.002147997374185547
5,tf,0.0016457153464539728
5,non_gene,0.0032642153084219893
5,gene,0.003487351406049296
5,all,0.001162536967800584
10,tf,0.0007632677120350462
10,non_gene,0.0019654299217005187
10,gene,0.0012498474071508945
10,all,0.0014245881006774248
5,tf,0.003122243786687652
5,non_gene,0.00849123951878574
5,gene,0.008344820845372813
5,all,0.004380840161859653
10,tf,0.0025168283902468136
10,non_gene,0.0031928355199992856
10,gene,0.002299885498787509
10,all,0.0019050053645643145
5,tf,0.00113749098519563
5,non_gene,0.0030700689315850812
5,gene,0.0020204899599759545
5,all,0.005665697091083784
10,tf,0.0027855342065602547
10,non_gene,0.002485739745851578
10,gene,0.0009410576884136723
10,all,0.0019698792738529424
5,tf,0.007318618396137147
5,non_gene,0.001744069428809641
5,gene,0.0030968373699301215
5,all,0.004027412310979701
10,tf,0.004868635690385458
10,non_gene,0.0007809315042761822
10,gene,0.0039195771938158866
10,all,0.0017863206407140102
5,tf,0.008718503822134417
5,non_gene,0.0019250530825466847
5,gene,0.007336850950799734
5,all,0.013751086982634433
10,tf,0.0024176918017969158
10,non_gene,0.0017310283505496988
10,gene,0.005187340527677691
10,all,0.004122911171489136
5,tf,0.0024134343908599853
5,non_gene,0.007037392955600666
5,gene,0.005140376082740027
5,all,0.002166809591468742
10,tf,0.001130046507343099
10,non_gene,0.0022374160394238946
10,gene,0.0021293095068289003
10,all,0.001741286929036893
5,tf,0.004084546546799744
5,non_gene,0.001162536967800584
5,gene,0.003582570294426164
5,all,0.00906523706154236
10,tf,0.0018948857925041977
10,non_gene,0.0014245881006774248
10,gene,0.0024576067275777942
10,all,0.0025746516073354244
5,tf,0.003184656690531724
5,non_gene,0.002160825136482111
5,gene,0.009016085699117117
5,all,0.006163460059265882
10,tf,0.003958282449201763
10,non_gene,0.004639441715376878
10,gene,0.002564337161426518
10,all,0.00242027832171749
5,tf,0.00388732600317742
5,non_gene,0.002001522039263356
5,gene,0.0025819539885442266
5,all,0.0028674941945507006
10,tf,0.0016280926813630819
10,non_gene,0.0021944640032616094
10,gene,0.0009965848681164904
10,all,0.0014524995675556018
5,tf,0.006102608117883518
5,non_gene,0.005855724259542184
5,gene,0.0031690577661760188
5,all,0.0022341725982558025
10,tf,0.002384842073467161
10,non_gene,0.0023611676985530786
10,gene,0.0023674707943712905
10,all,0.0017542210689289591
5,tf,0.003039706997417428
5,non_gene,0.0026373161718558588
5,gene,0.001262590225384478
5,all,0.0018060075609423094
10,tf,0.002480642197210861
10,non_gene,0.0017532314124241721
10,gene,0.0012376713901767317
10,all,0.0019844941562537355
5,tf,0.006592629097191147
5,non_gene,0.002793695058210809
5,gene,0.004071009797795876
5,all,0.0043728670672770285
10,tf,0.002393931692575622
10,non_gene,0.0018842917753949537
10,gene,0.00308405121248939
10,all,0.001904585084270214
5,tf,0.0024134343908599853
5,non_gene,0.004403716627720083
5,gene,0.0020389521249801683
5,all,0.0029686949480734344
10,tf,0.001130046507343099
10,non_gene,0.0022285092932827545
10,gene,0.0008811682756724507
10,all,0.0022414081803976645
5,tf,0.0030049580326236363
5,non_gene,0.01348705714338409
5,gene,0.007377236533228057
5,all,0.004922897293906049
10,tf,0.002471684196821603
10,non_gene,0.004440702277849303
10,gene,0.005198329405100011
10,all,0.0020429483746016645
5,tf,0.00205620712372507
5,non_gene,0.001162536967800584
5,gene,0.008748824522543585
5,all,0.0027352343563039464
10,tf,0.0009450178418153181
10,non_gene,0.0014245881006774248
10,gene,0.0024106821495643986
10,all,0.001280390839150577
5,tf,0.004084546546799744
5,non_gene,0.001162536967800584
5,gene,0.0012105600842752231
5,all,0.0009132462177945409
10,tf,0.0018948857925041977
10,non_gene,0.0014245881006774248
10,gene,0.0011575553571269443
10,all,0.0008876747418700542
5,tf,0.00113749098519563
5,non_gene,0.003633540176501338
5,gene,0.0009844728708846369
5,all,0.012786253077932606
10,tf,0.0027855342065602547
10,non_gene,0.0024284125029532355
10,gene,0.0008880848089165999
10,all,0.004824291424036172
5,tf,0.002593660251318674
5,non_gene,0.0018328177365733718
5,gene,0.002588060984606667
5,all,0.0036536961455892218
10,tf,0.0009962893157289172
10,non_gene,0.002178599786605838
10,gene,0.0009998950109135324
10,all,0.00260151012982744
5,tf,0.005786536501578402
5,non_gene,0.0024478592582831684
5,gene,0.005419235133200188
5,all,0.0032861232090032376
10,tf,0.0019439798672756363
10,non_gene,0.0022318024214683986
10,gene,0.002558449677827768
10,all,0.004183665771930093
5,tf,0.003184656690531724
5,non_gene,0.003516071192518929
5,gene,0.001156411224861487
5,all,0.0020360040314726224
10,tf,0.003958282449201763
10,non_gene,0.0026065386089311176
10,gene,0.0023147911746855005
10,all,0.0009610041438942829
5,tf,0.006102608117883518
5,non_gene,0.001162536967800584
5,gene,0.002890043221979506
5,all,0.001651505056036423
10,tf,0.002384842073467161
10,non_gene,0.0014245881006774248
10,gene,0.001817636051223353
10,all,0.001783790079636526
5,tf,0.00016867969009658069
5,non_gene,0.005332385518150278
5,gene,0.0014524580850857924
5,all,0.0020179449207429223
10,tf,0.00020029485089943417
10,non_gene,0.0021838623566707337
10,gene,0.0032273183090845833
10,all,0.000943470511631527
5,tf,0.006592629097191147
5,non_gene,0.004167089908411958
5,gene,0.003796077292759261
5,all,0.0010460087501682571
10,tf,0.002393931692575622
10,non_gene,0.002476781870353374
10,gene,0.0016073597362724675
10,all,0.001050720316587023
5,tf,0.006102608117883518
5,non_gene,0.001162536967800584
5,gene,0.010218591065291127
5,all,0.0002625414308749704
10,tf,0.002384842073467161
10,non_gene,0.0014245881006774248
10,gene,0.0036558898969775277
10,all,0.0010945793462560378
5,tf,0.007152139355014736
5,non_gene,0.001162536967800584
5,gene,0.003912853711673134
5,all,0.012567728164097233
10,tf,0.005146806003588634
10,non_gene,0.0014245881006774248
10,gene,0.0030497700304652313
10,all,0.004243186924058855
5,tf,0.00506875281166414
5,non_gene,0.004695170884164981
5,gene,0.00323287242494713
5,all,0.004394557609695999
10,tf,0.0021838623566707333
10,non_gene,0.0024587144455933507
10,gene,0.001958948019740587
10,all,0.0022248084897680217
5,tf,0.004084546546799744
5,non_gene,0.0013101602874078429
5,gene,0.0030867123614091085
5,all,0.007483239231432846
10,tf,0.0018948857925041977
10,non_gene,0.00124758900385809
10,gene,0.002511889077299204
10,all,0.002168681115913429
5,tf,0.0019565369102527647
5,non_gene,0.0041752658931478006
5,gene,0.0034703422072169276
5,all,0.00856026201961449
10,tf,0.0008624148155770028
10,non_gene,0.0024794140966693558
10,gene,0.0024301024963211144
10,all,0.0027975985091703397
5,tf,0.0043046897594256365
5,non_gene,0.003892814695782566
5,gene,0.0034630258225156036
5,all,0.001162536967800584
10,tf,0.0018873470139585023
10,non_gene,0.0027578678003358265
10,gene,0.0016111085211602063
10,all,0.0014245881006774248
5,tf,0.006102608117883518
5,non_gene,0.005271580654529385
5,gene,0.00554178912193159
5,all,0.003249363221972731
10,tf,0.002384842073467161
10,non_gene,0.0030845925985776216
10,gene,0.0018944277362090334
10,all,0.0016836315491025944
5,tf,0.006102608117883518
5,non_gene,0.0031344016620622034
5,gene,0.005069888931841335
5,all,0.007110930302362974
10,tf,0.002384842073467161
10,non_gene,0.002523097370153868
10,gene,0.0016174517183932908
10,all,0.004823304357367391
5,tf,0.0016377315586074519
5,non_gene,0.001162536967800584
5,gene,0.0040817183514725444
5,all,0.007406335685103516
10,tf,0.001782217828136158
10,non_gene,0.0014245881006774248
10,gene,0.0023128593976427967
10,all,0.0022553412888740676
5,tf,0.0016457153464539728
5,non_gene,0.001162536967800584
5,gene,0.007539301357989159
5,all,0.009421913124246563
10,tf,0.0007632677120350462
10,non_gene,0.0014245881006774248
10,gene,0.002544340372673411
10,all,0.0034627216629083205
5,tf,0.009069517002965485
5,non_gene,0.001162536967800584
5,gene,0.0021684975790516167
5,all,0.0019128383086444898
10,tf,0.0025770272412919014
10,non_gene,0.0014245881006774248
10,gene,0.0017419637763475518
10,all,0.0023809153980322807
5,tf,0.003184656690531724
5,non_gene,0.003684627146246824
5,gene,0.0013331205426209227
5,all,0.0034717947609718136
10,tf,0.003958282449201763
10,non_gene,0.0016517675541759607
10,gene,0.0021454735227746154
10,all,0.0016021928136947567
5,tf,0.006102608117883518
5,non_gene,0.001162536967800584
5,gene,0.008681208699845972
5,all,0.005723748000396105
10,tf,0.002384842073467161
10,non_gene,0.0014245881006774248
10,gene,0.0024090483743151657
10,all,0.001983349347908086
5,tf,0.008718503822134417
5,non_gene,0.001162536967800584
5,gene,0.002948570687853958
5,all,0.0014749766696145526
10,tf,0.0024176918017969158
10,non_gene,0.0014245881006774248
10,gene,0.0014392207272659497
10,all,0.0024329205609685644
5,tf,0.004140288987529124
5,non_gene,0.0021295420187271673
5,gene,0.004045380896711933
5,all,0.0014711946427446506
10,tf,0.0024707461755637053
10,non_gene,0.0012622787079038984
10,gene,0.0038208136562065884
10,all,0.0024484551312881665
5,tf,0.005786536501578402
5,non_gene,0.0016851417135449645
5,gene,0.003395890450351816
5,all,0.004501217481586773
10,tf,0.0019439798672756363
10,non_gene,0.0008581814206063812
10,gene,0.0014546535980813245
10,all,0.002286374380703077
5,tf,0.01250670737693361
5,non_gene,0.003952412887906081
5,gene,0.0035452104372109086
5,all,0.005495049904950597
10,tf,0.004229758221423301
10,non_gene,0.004356187520469608
10,gene,0.0015523417009813073
10,all,0.0026739145612643916
5,tf,0.0023214654384431954
5,non_gene,0.014240698381220801
5,gene,0.005124642059022267
5,all,0.01754379392620333
10,tf,0.0011118954810016308
10,non_gene,0.00508643459867995
10,gene,0.0021230596790410335
10,all,0.00540329576759807
5,tf,0.01250670737693361
5,non_gene,0.0010282695771926555
5,gene,0.0026974590453768205
5,all,0.0017996598195617625
10,tf,0.004229758221423301
10,non_gene,0.0008960903886184797
10,gene,0.0012714347303603875
10,all,0.0017407937768386301
5,tf,0.003039706997417428
5,non_gene,0.010290403615518804
5,gene,0.0050555751693702215
5,all,0.003129533696181284
10,tf,0.002480642197210861
10,non_gene,0.007435038620685165
10,gene,0.0016138583097841217
10,all,0.0025211806834331586
5,tf,0.00506875281166414
5,non_gene,0.004374961323512589
5,gene,0.008160905197644267
5,all,0.001881848640584056
10,tf,0.0021838623566707333
10,non_gene,0.002168510010622619
10,gene,0.004728471046116899
10,all,0.0011329752677512043
5,tf,0.004084546546799744
5,non_gene,0.0039895773604811235
5,gene,0.004266369881356327
5,all,0.0012443415854484353
10,tf,0.0018948857925041977
10,non_gene,0.0017496454402990726
10,gene,0.0018247029281957122
10,all,0.0022379515079895386
5,tf,0.007318618396137147
5,non_gene,0.0041270108403790185
5,gene,0.0019249207004341357
5,all,0.005119255607666209
10,tf,0.004868635690385458
10,non_gene,0.0017823513709102957
10,gene,0.0012127182838807494
10,all,0.002120536022084966
5,tf,0.006102608117883518
5,non_gene,0.001162536967800584
5,gene,0.00019420587326178951
5,all,0.004023271001199846
10,tf,0.002384842073467161
10,non_gene,0.0014245881006774248
10,gene,0.0014882600034728684
10,all,0.0024060718563208186
5,tf,0.00388732600317742
5,non_gene,0.001162536967800584
5,gene,0.003430016744516572
5,all,0.002800546516955514
10,tf,0.0016280926813630819
10,non_gene,0.0014245881006774248
10,gene,0.0016465102074789105
10,all,0.0019372761478744995
5,tf,0.0016457153464539728
5,non_gene,0.001162536967800584
5,gene,0.0020950383938782755
5,all,0.005452936860989212
10,tf,0.0007632677120350462
10,non_gene,0.0014245881006774248
10,gene,0.004625212695730946
10,all,0.002569573709567296
5,tf,0.00249966227530904
5,non_gene,0.005047053629542474
5,gene,0.004862008655190774
5,all,0.004111605083033585
10,tf,0.001007434926897387
10,non_gene,0.003190346415077518
10,gene,0.0021656503296746204
10,all,0.0017785868230122432
5,tf,0.0041616759715812955
5,non_gene,0.0015848058522586537
5,gene,0.0014026811673309484
5,all,0.001162536967800584
10,tf,0.0024754627468586334
10,non_gene,0.0009778669299359253
10,gene,0.001154523405560975
10,all,0.0014245881006774248
5,tf,0.003184656690531724
5,non_gene,0.0011631406020160525
5,gene,0.005495978245020859
5,all,0.007563386018784294
10,tf,0.003958282449201763
10,non_gene,0.0023163722033966642
10,gene,0.0017554460346938135
10,all,0.0025497463362329407
5,tf,0.01250670737693361
5,non_gene,0.005988657417123361
5,gene,0.006589748787366638
5,all,0.0013837856848613462
10,tf,0.004229758221423301
10,non_gene,0.0019236421528219412
10,gene,0.0030502263787174884
10,all,0.0032785053725348946
5,tf,0.00016609183503816697
5,non_gene,0.006392327038300535
5,gene,0.01981452032838337
5,all,0.005410975369736242
10,tf,0.0009561751935045105
10,non_gene,0.002997222958269485
10,gene,0.005783950615887999
10,all,0.002465444820849416
5,tf,0.013736707395766759
5,non_gene,0.001162536967800584
5,gene,0.0009464929889171859
5,all,0.006589265728536084
10,tf,0.004117569455684192
10,non_gene,0.0014245881006774248
10,gene,0.002280394414041129
10,all,0.0030497877695890015
5,tf,0.0020046992817160858
5,non_gene,0.0039012990504988174
5,gene,0.010927655355817266
5,all,0.002768134082343523
10,tf,0.0009430205021721491
10,non_gene,0.001931679223086047
10,gene,0.003591155678139608
10,all,0.0018779576205926935
5,tf,0.0015855331810488299
5,non_gene,0.0044369012960977
5,gene,0.0031227962682182043
5,all,0.0013906915296419992
10,tf,0.0005726692968831302
10,non_gene,0.0018227020194461771
10,gene,0.0018289091953586647
10,all,0.0028467571754554936
5,tf,0.0033850527937118327
5,non_gene,0.0031336536632909514
5,gene,0.013735356024530002
5,all,0.001162536967800584
10,tf,0.0016950213350591591
10,non_gene,0.0011851159317847562
10,gene,0.004117269150964913
10,all,0.0014245881006774248
5,tf,0.0016377315586074519
5,non_gene,0.002593267223652774
5,gene,0.002268880306864224
5,all,0.003554293852255085
10,tf,0.001782217828136158
10,non_gene,0.0023839935165014957
10,gene,0.0013795949757497762
10,all,0.0012646754334443644
5,tf,0.004084546546799744
5,non_gene,0.0051288633771382425
5,gene,0.0009076533697224262
5,all,0.007081985339864661
10,tf,0.0018948857925041977
10,non_gene,0.002124427734043721
10,gene,0.0012036351004294128
10,all,0.004816663476123302
5,tf,0.004023490377891852
5,non_gene,0.005422588943389058
5,gene,0.0033949775010190366
5,all,0.003182281540545556
10,tf,0.001563180956378441
10,non_gene,0.002561517711115577
10,gene,0.0017655714917009329
10,all,0.0018410930184186614
5,tf,0.003184656690531724
5,non_gene,0.009064435590081323
5,gene,0.0011371012596804266
5,all,0.0065745099934604615
10,tf,0.003958282449201763
10,non_gene,0.0025737930748179327
10,gene,0.0023113009781661783
10,all,0.0030470628922224397
5,tf,0.002188899120358045
5,non_gene,0.0014233151041926975
5,gene,0.004720596702193563
5,all,0.005649663273588956
10,tf,0.001409089553005212
10,non_gene,0.0015983443439676036
10,gene,0.0021352971167976883
10,all,0.002629134818703858
5,tf,0.01250670737693361
5,non_gene,0.0015135267201255086
5,gene,0.0024716486926436563
5,all,0.002049015529115874
10,tf,0.004229758221423301
10,non_gene,0.001367572816361834
10,gene,0.001441578144903168
10,all,0.0008837062730463897
5,tf,0.008718503822134417
5,non_gene,0.004003601728406355
5,gene,0.0009423748324172467
5,all,0.0020125188605212723
10,tf,0.0024176918017969158
10,non_gene,0.0017805096202178122
10,gene,0.0012143238007588204
10,all,0.0009415485066282026
5,tf,0.009069517002965485
5,non_gene,0.002269964826112635
5,gene,0.00763543771860196
5,all,0.004097495488465709
10,tf,0.0025770272412919014
10,non_gene,0.004664381080771911
10,gene,0.0037542512039235977
10,all,0.0030925973616493813
5,tf,0.008718503822134417
5,non_gene,0.005407635975616704
5,gene,0.007590942460135831
5,all,0.0017438519897003267
10,tf,0.0024176918017969158
10,non_gene,0.0025577669441237696
10,gene,0.0025557715783957823
10,all,0.001381601456947525
5,tf,0.009069517002965485
5,non_gene,0.003199195657273682
5,gene,0.0066308263949153845
5,all,0.003100057750420529
10,tf,0.0025770272412919014
10,non_gene,0.0019518117427968227
10,gene,0.0023624060553565796
10,all,0.0015195845891278045
5,tf,0.008718503822134417
5,non_gene,0.0016864356644407182
5,gene,0.004647130977256878
5,all,0.007252296738721869
10,tf,0.0024176918017969158
10,non_gene,0.0011616658643931624
10,gene,0.0024401279184701375
10,all,0.0033014577092026535
5,tf,0.00205620712372507
5,non_gene,0.0031854150063678212
5,gene,0.013486573066071312
5,all,0.008105135585431245
10,tf,0.0009450178418153181
10,non_gene,0.0016319012014147445
