clique_size,model_type,strength
5,tf,0.00510865155755129
5,non_gene,0.001162536967800584
5,gene,0.002657326901651391
10,tf,0.002118341117981656
10,non_gene,0.0014245881006774248
10,gene,0.001360728596946441
5,tf,0.003184656690531724
5,non_gene,0.002999005182928646
5,gene,0.004340035379789535
10,tf,0.003958282449201763
10,non_gene,0.002242595502660622
10,gene,0.0018961882040144254
5,tf,0.00016609183503816697
5,non_gene,0.002191011391322037
5,gene,0.0005086416563133292
10,tf,0.0009561751935045105
10,non_gene,0.004646870725232007
10,gene,0.0034467394596475686
5,tf,0.007318618396137147
5,non_gene,0.001162536967800584
5,gene,0.012582246513484977
10,tf,0.004868635690385458
10,non_gene,0.0014245881006774248
10,gene,0.004247064422127841
5,tf,0.00506875281166414
5,non_gene,0.001162536967800584
5,gene,0.001162536967800584
10,tf,0.0021838623566707333
10,non_gene,0.0014245881006774248
10,gene,0.0014245881006774248
5,tf,0.00388732600317742
5,non_gene,0.001162536967800584
5,gene,0.0027207300916570437
10,tf,0.0016280926813630819
10,non_gene,0.0014245881006774248
10,gene,0.001277723028563468
5,tf,0.0020046992817160858
5,non_gene,0.003038495948526539
5,gene,0.00400139946972873
10,tf,0.0009430205021721491
10,non_gene,0.002478723527394124
10,gene,0.0017828745457872234
5,tf,0.003122243786687652
5,non_gene,0.007178420719715863
5,gene,0.0031641114849121745
10,tf,0.0025168283902468136
10,non_gene,0.0051528302069440675
10,gene,0.003936953984456264
5,tf,0.0041616759715812955
5,non_gene,0.002363327744734512
5,gene,0.0009626935658067221
10,tf,0.0024754627468586334
10,non_gene,0.0018154648791740406
10,gene,0.0022809871127295604
5,tf,0.01250670737693361
5,non_gene,0.006124633378260367
5,gene,0.0013733550496314838
10,tf,0.004229758221423301
10,non_gene,0.0023913783602596125
10,gene,0.0039324052316752145
5,tf,0.004073066862450058
5,non_gene,0.013737955874920563
5,gene,0.00354594578476531
10,tf,0.0017671410366945682
10,non_gene,0.00411887695539453
10,gene,0.0029801208590508068
5,tf,0.008718503822134417
5,non_gene,0.004021050140349328
5,gene,0.004146902751930272
10,tf,0.0024176918017969158
10,non_gene,0.0023977890223884713
10,gene,0.0017966957310139825
5,tf,0.008718503822134417
5,non_gene,0.0015937106885842787
5,gene,0.006446483128949618
10,tf,0.0024176918017969158
10,non_gene,0.0011761641946204443
10,gene,0.0023683366788777855
5,tf,0.00506875281166414
5,non_gene,0.01761063838550246
5,gene,0.006731637107326674
10,tf,0.0021838623566707333
10,non_gene,0.0049794491638381335
10,gene,0.002406793592380251
5,tf,0.002003165650127718
5,non_gene,0.004323698070049918
5,gene,0.0042501931970199535
10,tf,0.000939888551805556
10,non_gene,0.0017255868530323716
10,gene,0.002494136057520008
5,tf,0.0021113284968450746
5,non_gene,0.022484941181085554
5,gene,0.003971223094074155
10,tf,0.0012613613140741587
10,non_gene,0.006456601001704851
10,gene,0.001884084508641617
5,tf,0.006102608117883518
5,non_gene,0.010238581336667227
5,gene,0.006665354750686034
10,tf,0.002384842073467161
10,non_gene,0.0036593163166962015
10,gene,0.0024047740414930782
5,tf,0.002003165650127718
5,non_gene,0.001162536967800584
5,gene,0.005066404819824062
10,tf,0.000939888551805556
10,non_gene,0.0014245881006774248
10,gene,0.0016178380548676273
5,tf,0.0016377315586074519
5,non_gene,0.010231217066950713
5,gene,0.012550427983596244
10,tf,0.001782217828136158
10,non_gene,0.0036575240623844436
10,gene,0.004240308074546325
5,tf,0.004836326547890358
5,non_gene,0.008600876918529116
5,gene,0.0019373192469318665
10,tf,0.0018642675914886417
10,non_gene,0.0028049585982789955
10,gene,0.0021648447653214464
5,tf,0.007318618396137147
5,non_gene,0.0064280235102302545
5,gene,0.004028517258537813
10,tf,0.004868635690385458
10,non_gene,0.0030062672489460283
10,gene,0.0017849393582942423
5,tf,0.006102608117883518
5,non_gene,0.0027517510930218847
5,gene,0.003235320232612073
10,tf,0.002384842073467161
10,non_gene,0.0022104441667651475
10,gene,0.0016801128309264187
5,tf,0.0018005607259790884
5,non_gene,0.001162536967800584
5,gene,0.0035423228453474397
10,tf,0.0034695836758976972
10,non_gene,0.0014245881006774248
10,gene,0.002405620487730119
5,tf,0.004836326547890358
5,non_gene,0.013508740295154056
5,gene,0.0015312500589587039
10,tf,0.0018642675914886417
10,non_gene,0.004446527703565932
10,gene,0.0020371104049193424
5,tf,0.007318618396137147
5,non_gene,0.002217701924910104
5,gene,0.001162536967800584
10,tf,0.004868635690385458
10,non_gene,0.003987069969403394
10,gene,0.0014245881006774248
5,tf,0.00113749098519563
5,non_gene,0.0013168687193896673
5,gene,0.003015732052721768
10,tf,0.0027855342065602547
10,non_gene,0.0012501171995779846
10,gene,0.002250563617463991
5,tf,0.007318618396137147
5,non_gene,0.002628934540998546
5,gene,0.0025313203332256746
10,tf,0.004868635690385458
10,non_gene,0.002387892893784755
10,gene,0.0010158627416020497
