alpha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.01,1.0,0.45098039215686275,0.5098039215686274,0.19607843137254902,0.8823529411764706,0.8627450980392157,0.19607843137254902,0.43137254901960786,0.5490196078431373,0.8627450980392157,0.6078431372549019,0.5490196078431373,0.43137254901960786,1.0,1.0,0.9607843137254902,0.9803921568627451,0.5098039215686274,0.13725490196078433,0.5098039215686274,0.1568627450980392,0.35294117647058826,0.5294117647058824,0.11764705882352941,0.3137254901960784,0.23529411764705882,0.19607843137254902,0.5490196078431373,0.5686274509803921,0.6274509803921569,0.7647058823529411,0.6274509803921569,0.45098039215686275,0.37254901960784315,0.11764705882352941,0.5882352941176471,0.49019607843137253,0.5686274509803921,0.11764705882352941,0.5490196078431373,0.5098039215686274,0.5686274509803921,0.19607843137254902,0.09803921568627451,0.47058823529411764,0.43137254901960786,0.2549019607843137,0.47058823529411764,0.6862745098039216,0.21568627450980393
0.05,1.0,0.6862745098039216,0.5294117647058824,0.5686274509803921,0.7254901960784313,0.5294117647058824,0.39215686274509803,1.0,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.8627450980392157,0.9607843137254902,0.9803921568627451,0.9803921568627451,0.9607843137254902,0.5686274509803921,0.49019607843137253,0.17647058823529413,0.19607843137254902,0.21568627450980393,0.058823529411764705,0.0392156862745098,0.058823529411764705,0.0784313725490196,0.21568627450980393,0.1568627450980392,0.6078431372549019,0.6078431372549019,0.7843137254901961,0.3137254901960784,0.45098039215686275,0.5490196078431373,0.23529411764705882,0.5882352941176471,0.6470588235294118,0.6666666666666666,0.37254901960784315,0.6470588235294118,0.27450980392156865,0.1568627450980392,0.29411764705882354,0.37254901960784315,0.35294117647058826,0.0392156862745098,0.2549019607843137,0.37254901960784315,0.2549019607843137,0.29411764705882354,0.13725490196078433
0.1,1.0,0.47058823529411764,0.5294117647058824,0.6078431372549019,0.8431372549019608,0.9411764705882353,0.9607843137254902,0.9215686274509803,0.9019607843137255,0.9803921568627451,0.9803921568627451,1.0,0.9803921568627451,0.9215686274509803,0.9607843137254902,0.9411764705882353,0.9411764705882353,0.9607843137254902,0.9607843137254902,0.9215686274509803,0.19607843137254902,0.11764705882352941,0.11764705882352941,0.13725490196078433,0.19607843137254902,0.21568627450980393,0.49019607843137253,0.5098039215686274,0.35294117647058826,0.5294117647058824,0.5686274509803921,0.49019607843137253,0.6078431372549019,0.5882352941176471,0.5490196078431373,0.13725490196078433,0.27450980392156865,0.29411764705882354,0.21568627450980393,0.39215686274509803,0.21568627450980393,0.3137254901960784,0.17647058823529413,0.1568627450980392,0.27450980392156865,0.49019607843137253,0.27450980392156865,0.39215686274509803,0.2549019607843137,0.4117647058823529
0.25,1.0,0.43137254901960786,0.5098039215686274,0.37254901960784315,0.27450980392156865,0.35294117647058826,0.35294117647058826,0.7254901960784313,0.8431372549019608,0.9215686274509803,0.9215686274509803,0.9411764705882353,0.9019607843137255,0.9019607843137255,0.9411764705882353,0.9607843137254902,0.9803921568627451,0.9607843137254902,0.9607843137254902,0.9411764705882353,0.8431372549019608,0.058823529411764705,0.11764705882352941,0.0784313725490196,0.058823529411764705,0.21568627450980393,0.27450980392156865,0.19607843137254902,0.3137254901960784,0.37254901960784315,0.39215686274509803,0.37254901960784315,0.2549019607843137,0.19607843137254902,0.3137254901960784,0.1568627450980392,0.23529411764705882,0.13725490196078433,0.21568627450980393,0.11764705882352941,0.19607843137254902,0.13725490196078433,0.19607843137254902,0.21568627450980393,0.13725490196078433,0.13725490196078433,0.0784313725490196,0.21568627450980393,0.13725490196078433,0.11764705882352941
0.5,1.0,0.45098039215686275,0.37254901960784315,0.39215686274509803,0.2549019607843137,0.3333333333333333,0.35294117647058826,0.4117647058823529,0.5686274509803921,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.7450980392156863,0.7254901960784313,0.7843137254901961,0.7450980392156863,0.7058823529411765,0.6666666666666666,0.6862745098039216,0.6078431372549019,0.6862745098039216,0.6274509803921569,0.6862745098039216,0.6666666666666666,0.7843137254901961,0.6274509803921569,0.6862745098039216,0.7450980392156863,0.7450980392156863,0.6666666666666666,0.49019607843137253,0.5294117647058824,0.6078431372549019,0.6274509803921569,0.7254901960784313,0.0392156862745098,0.0392156862745098,0.058823529411764705,0.0392156862745098,0.09803921568627451,0.058823529411764705,0.09803921568627451,0.11764705882352941,0.13725490196078433,0.13725490196078433,0.0784313725490196,0.19607843137254902,0.09803921568627451,0.1568627450980392,0.21568627450980393
