size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0001993284699748872,0.5492901419716056,0.9665662359165597
3,0.0002456799337604994,0.3525294941011798,1.210791184244785
4,0.00022822483017903865,0.41051789642071584,1.1514926864379538
5,0.00019294358208737377,0.5216956608678265,0.9627108098860588
6,0.0001658293728676303,0.715256948610278,0.7395526081149382
7,0.00014456285081013606,0.8006398720255948,0.46588246833699387
8,0.0004174916462285144,0.5632873425314937,0.886132345690112
9,0.00047864792597619537,0.5640871825634873,0.8536289584284795
10,0.0006352628000059505,0.4185162967406519,1.1377027728767124
11,0.0005887222531418978,0.44931013797240554,1.0934913086474582
12,0.0005441736422780948,0.5762847430513898,0.9813909552827986
13,0.0005448367099774582,0.586882623475305,0.9837543141045404
14,0.0005266014540164909,0.6072785442911418,0.9483035972072612
15,0.0005176176632955957,0.6152769446110777,0.9384845666410493
16,0.0005079613257556222,0.6274745050989802,0.9234777793909401
17,0.0005034224754692081,0.628874225154969,0.9201316629994319
18,0.0004961813197957774,0.6322735452909418,0.9223306623006282
19,0.0005404881651949181,0.49090181963607277,1.0186980641256869
20,0.0005342315486891771,0.490501899620076,1.0161320864728387
21,0.0005284764065637623,0.4877024595080984,1.018510467006501
22,0.0005174843198510927,0.4897020595880824,1.0107484127567288
23,0.0005099352545958172,0.48990201959608076,1.0158000086942565
24,0.0005015220090771096,0.4879024195160968,1.0167788718606465
25,0.0004943466690419164,0.48310337932413516,1.0204143447086664
26,0.00047954177859680156,0.4929014197160568,1.0089874575207591
27,0.00046531901998238056,0.496500699860028,1.0040142225457527
28,0.00045025869562617606,0.5018996200759848,0.9971801998694179
29,0.0004342036824124689,0.5102979404119176,0.9848098648944216
30,0.00041865212211869806,0.5152969406118776,0.9810488904318679
