size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0003189167624610926,0.7062937062937062,0.32883923968732903
3,0.0006489734164998097,0.7682317682317682,0.1755529979419808
4,0.0006511117244793655,0.8501498501498501,0.17365179225304583
5,0.010217975885194035,0.0969030969030969,2.992303331705776
6,0.007343025660672551,0.11688311688311688,2.441604600209664
7,0.006097508318419232,0.13186813186813187,2.19769783433747
8,0.00506229108708534,0.13486513486513488,2.0696235307320197
9,0.0042743438143704,0.14385614385614387,1.9280013381995287
10,0.003654639237110728,0.15584415584415584,1.8423775808720886
11,0.003182068528291687,0.17382617382617382,1.6765458324577465
12,0.0028560527761229124,0.17182817182817184,1.6556696393564878
13,0.002614131792597177,0.16683316683316685,1.3874247857850537
14,0.002361628616191285,0.17882117882117882,1.3671671832103947
15,0.0021431221469699595,0.18281718281718282,1.318139782670152
16,0.0019564618629039202,0.18581418581418582,1.2568371966199408
17,0.001797516763643556,0.1928071928071928,1.199599920714897
18,0.0016581880955467022,0.2047952047952048,1.1768359943712108
19,0.001536794216454952,0.25574425574425574,1.1442415710167446
20,0.0014299089867796748,0.2827172827172827,1.1265819506275816
21,0.0013354319530649377,0.2947052947052947,1.1119642547680484
22,0.0012497138270343947,0.31368631368631367,1.0864227486672193
23,0.0011731983825411082,0.3276723276723277,1.0796668045340667
24,0.0011047514914400065,0.33166833166833165,1.073246051753835
25,0.0010425070923428662,0.34265734265734266,1.0547369233793606
26,0.0009854581639257528,0.35564435564435565,1.0417154766503134
27,0.0009338508009094414,0.36663336663336665,1.03821214866168
28,0.0008869623412385987,0.3856143856143856,1.036011704917454
29,0.0008440507635991899,0.3996003996003996,1.0345613953081392
30,0.000804521358108946,0.4095904095904096,1.0340882052264626
