size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.00360310192983748,0.07492507492507493,3.7128437806903194
3,0.007770341214949084,0.22777222777222778,2.2821424353299133
4,0.005745264211364644,0.2977022977022977,1.5829650245496267
5,0.004141399600234158,0.33666333666333664,1.3320337146919154
6,0.003641336606781495,0.3596403596403596,1.3024265428777726
7,0.0029283908372816506,0.42657342657342656,1.1315492994564946
8,0.002445865381891145,0.4745254745254745,1.0141860885741096
9,0.0020780795071299344,0.5364635364635365,0.9696231024729496
10,0.0017826992870667918,0.5844155844155844,0.9066482571000236
11,0.0015547967775073211,0.6323676323676324,0.8130883026676747
12,0.001513766986727899,0.6013986013986014,0.8614425181784274
13,0.0013926784518528453,0.7182817182817183,0.7353348973882371
14,0.0012781873799692716,0.7182817182817183,0.7323885151913381
15,0.0012474477817160426,0.6893106893106893,0.7354922149729133
16,0.0012576399565052546,0.6763236763236763,0.7926714307937248
17,0.0011646069128767372,0.6863136863136863,0.7743641004452376
18,0.001080734465743893,0.6903096903096904,0.7612486538056557
19,0.0010045804917748348,0.7072927072927073,0.744043341181306
20,0.0009350989496744362,0.7082917082917083,0.7225186567959292
21,0.0008736596778993526,0.7242757242757243,0.7195883871028347
22,0.0008190665709938032,0.7382617382617382,0.7134309802129244
23,0.0007704891162935001,0.7462537462537463,0.7107489871342458
24,0.0007271012965771407,0.7502497502497503,0.7063657318618681
25,0.0006879944602338555,0.7532467532467533,0.6960654422583471
26,0.0006527801367704048,0.7862137862137862,0.6900457028177536
27,0.0006207735534830483,0.8041958041958042,0.690147338489546
28,0.0005968034494993079,0.8071928071928072,0.6970931351527022
29,0.0006114194681728026,0.7722277722277723,0.749422908420934
30,0.0005981378637217977,0.7702297702297702,0.7688140330145282
