size,ttn_score,p_value,fold_change
1,0.0,1.0,
2,0.0001859573562098052,0.6063936063936064,0.9073717864412607
3,0.00018677775081617733,0.5734265734265734,0.9230148598963515
4,0.00018873197232781302,0.5354645354645354,0.9620897245981341
5,0.00015859554263649822,0.6623376623376623,0.7716571130393093
6,0.00014043657824841022,0.8251748251748252,0.6328286301773031
7,0.0001232134312698132,0.8941058941058941,0.39707972809447595
8,0.00011078428900208667,0.932067932067932,0.23514133220595546
9,0.00010109736543350365,0.9560439560439561,0.18029878345102665
10,0.00018986056021334395,0.7602397602397603,0.3400244525771446
11,0.00039190541218575646,0.6493506493506493,0.727924177742494
12,0.00039244482248275734,0.6623376623376623,0.7077553363661787
13,0.00034747207592431256,0.7032967032967034,0.6273937630515857
14,0.00041206012598061614,0.6813186813186813,0.7293448385943392
15,0.0003828136170506523,0.7042957042957043,0.6727478735644382
16,0.00040314994498757934,0.7062937062937062,0.7179230408831597
17,0.0003902135534078351,0.7142857142857143,0.7013301903036299
18,0.0003774575532199381,0.7282717282717283,0.6907920362730189
19,0.0003635152576541901,0.7442557442557443,0.676879253398183
20,0.00035619933395836223,0.7532467532467533,0.6723115031705796
21,0.00038471211534831423,0.7312687312687313,0.7362148483974357
22,0.0004330361986060523,0.7042957042957043,0.8425949136949377
23,0.0004472420432109847,0.6823176823176823,0.8908355654331219
24,0.0004336179803926952,0.6963036963036963,0.8719350363446831
25,0.0004205443699475849,0.7052947052947053,0.8555409964369458
26,0.00041038854493261637,0.7102897102897103,0.8548820244929388
27,0.00041200802746634474,0.6973026973026973,0.8735647034363081
28,0.00041041154168617585,0.5904095904095904,0.8883274067114965
29,0.0004031015222143561,0.5884115884115884,0.8978357784236001
30,0.00039868741546056493,0.5744255744255744,0.9193824523563162
