clique_size,model_type,strength
10,non_gene,0.0014245881006774248
10,gene,0.0023471154606737547
15,tf,0.0014293608931312456
15,non_gene,0.0020523015202428036
15,gene,0.0014439622195927945
5,tf,0.007266687927758439
5,non_gene,0.0035075524541361416
5,gene,0.003968446878304378
10,tf,0.003305482058977979
10,non_gene,0.0024405177495256196
10,gene,0.00546690755226502
15,tf,0.001893858027896552
15,non_gene,0.0017060008144833647
15,gene,0.0026750300923118887
5,tf,0.007318618396137147
5,non_gene,0.001162536967800584
5,gene,0.003227805333115958
10,tf,0.004868635690385458
10,non_gene,0.0014245881006774248
10,gene,0.0011459718734468764
15,tf,0.0024409086895810766
15,non_gene,0.0020523015202428036
15,gene,0.0006831249660848427
5,tf,0.008718503822134417
5,non_gene,0.004421298270868412
5,gene,0.010222831350514935
10,tf,0.0024176918017969158
10,non_gene,0.0021683903672938504
10,gene,0.003655926999335443
15,tf,0.0015732987908723779
15,non_gene,0.001271533227506577
15,gene,0.002143429667884603
5,tf,0.0016377315586074519
5,non_gene,0.00433830053110812
5,gene,0.006607608616045635
10,tf,0.001782217828136158
10,non_gene,0.0020259578939518645
10,gene,0.0030560157711505406
15,tf,0.001313209383266646
15,non_gene,0.0012442675322434792
15,gene,0.002174740770338756
5,tf,0.01250670737693361
5,non_gene,0.0029844559908747937
5,gene,0.013486863569811996
10,tf,0.004229758221423301
10,non_gene,0.0022416693215713316
10,gene,0.00444022442285193
15,tf,0.0022952168870492263
15,non_gene,0.0015817539717290561
15,gene,0.002337727559015625
5,tf,0.00020794628010867056
5,non_gene,0.00848178113672814
5,gene,0.003526033745277075
10,tf,0.0016256607745804065
10,non_gene,0.0031910838527326067
10,gene,0.002191870744094887
15,tf,0.0009866298144235548
15,non_gene,0.0019280674089832992
15,gene,0.0012424692536834147
5,tf,0.0016377315586074519
5,non_gene,0.001162536967800584
5,gene,0.0010180959326625228
10,tf,0.001782217828136158
10,non_gene,0.0014245881006774248
10,gene,0.0009103764019302475
15,tf,0.001313209383266646
15,non_gene,0.0020523015202428036
15,gene,0.0008376508124286677
5,tf,0.00249966227530904
5,non_gene,0.0025971410910776123
5,gene,0.014291112557327429
10,tf,0.001007434926897387
10,non_gene,0.0010315466234055248
10,gene,0.0052427117941629695
15,tf,0.001081382199093036
15,non_gene,0.0010888779988295937
15,gene,0.0027639553394653783
5,tf,0.008718503822134417
5,non_gene,0.001162536967800584
5,gene,0.005699283137109031
10,tf,0.0024176918017969158
10,non_gene,0.0014245881006774248
10,gene,0.0019268506252276948
15,tf,0.0015732987908723779
15,non_gene,0.0020523015202428036
15,gene,0.0012544722185071093
5,tf,0.006102608117883518
5,non_gene,0.0019410277598605925
5,gene,0.0009333213544320311
10,tf,0.002384842073467161
10,non_gene,0.0018366480179731809
10,gene,0.0012101773532667305
15,tf,0.0016258912459654463
15,non_gene,0.0015112440635291137
15,gene,0.0012787625085951045
5,tf,0.0020046992817160858
5,non_gene,0.0014966458284480933
5,gene,0.010231011401106004
10,tf,0.0009430205021721491
10,non_gene,0.0024497622023865206
10,gene,0.0036586304357106958
15,tf,0.0005362320015023028
15,non_gene,0.0016380930818461785
15,gene,0.002144401294564979
5,tf,0.0043046897594256365
5,non_gene,0.001162536967800584
5,gene,0.008637332718349208
10,tf,0.0018873470139585023
10,non_gene,0.0014245881006774248
10,gene,0.002813742608013117
15,tf,0.0011717401631966763
15,non_gene,0.0020523015202428036
15,gene,0.0017827481448127
5,tf,0.0018005607259790884
5,non_gene,0.001162536967800584
5,gene,0.008813877071202793
10,tf,0.0034695836758976972
10,non_gene,0.0014245881006774248
10,gene,0.002425950100701836
15,tf,0.0023838872154734914
15,non_gene,0.0020523015202428036
15,gene,0.0013921619056112974
5,tf,0.008718503822134417
5,non_gene,0.001162536967800584
5,gene,0.0041624883331143215
10,tf,0.0024176918017969158
10,non_gene,0.0014245881006774248
10,gene,0.0018946007259346776
15,tf,0.0015732987908723779
15,non_gene,0.0020523015202428036
15,gene,0.0010763980188367296
5,tf,0.004836326547890358
5,non_gene,0.0025569866787714455
5,gene,0.005184461584370135
10,tf,0.0018642675914886417
10,non_gene,0.0010203471937996213
10,gene,0.0016422420976536466
15,tf,0.001044711558065194
15,non_gene,0.0010022811158871007
15,gene,0.0008973110147930771
5,tf,0.003184656690531724
5,non_gene,0.001162536967800584
5,gene,0.00033674788091956866
10,tf,0.003958282449201763
10,non_gene,0.0014245881006774248
10,gene,0.0013714141635705523
15,tf,0.0020537324643244725
15,non_gene,0.0020523015202428036
15,gene,0.0007933074597014807
5,tf,0.002593660251318674
5,non_gene,0.008491109573618528
5,gene,0.00560597004056996
10,tf,0.0009962893157289172
10,non_gene,0.0031932694445063847
10,gene,0.0019089708796675175
15,tf,0.0008634485948158179
15,non_gene,0.0019300370779787672
15,gene,0.0012464987534233814
5,tf,0.009069517002965485
5,non_gene,0.010237829397572864
5,gene,0.001162536967800584
10,tf,0.0025770272412919014
10,non_gene,0.0036584553825133033
10,gene,0.0014245881006774248
15,tf,0.0014293608931312456
15,non_gene,0.0021451014143042033
15,gene,0.0020523015202428036
5,tf,0.0009816876956912025
5,non_gene,0.004203595512750912
5,gene,0.006575169752501495
10,tf,0.0009389715380655746
10,non_gene,0.001997426028198729
10,gene,0.0030475227551022732
15,tf,0.0014354069195690409
15,non_gene,0.001232354735230872
15,gene,0.002170793553411219
5,tf,0.009069517002965485
5,non_gene,0.0030717854112100687
5,gene,0.0028207941042484135
10,tf,0.0025770272412919014
10,non_gene,0.003913549029183517
10,gene,0.001446986621336988
15,tf,0.0014293608931312456
15,non_gene,0.00197248163803739
15,gene,0.0011206231993175293
5,tf,0.00205620712372507
5,non_gene,0.001162536967800584
5,gene,0.001162536967800584
10,tf,0.0009450178418153181
10,non_gene,0.0014245881006774248
10,gene,0.0014245881006774248
15,tf,0.0008151695827344499
15,non_gene,0.0020523015202428036
15,gene,0.0020523015202428036
5,tf,0.0009816876956912025
5,non_gene,0.001162536967800584
5,gene,0.0022146784645641323
10,tf,0.0009389715380655746
10,non_gene,0.0014245881006774248
10,gene,0.0017515974352343138
15,tf,0.0014354069195690409
15,non_gene,0.0020523015202428036
15,gene,0.0014633659662847975
5,tf,0.0019668798496418668
5,non_gene,0.001162536967800584
5,gene,0.0032347187844081323
10,tf,0.0017273246831364948
10,non_gene,0.0014245881006774248
10,gene,0.001679256893443202
15,tf,0.00140120174976499
15,non_gene,0.0020523015202428036
15,gene,0.0022103572159702218
5,tf,0.003184656690531724
5,non_gene,0.0023176521427837452
5,gene,0.005737634811836706
10,tf,0.003958282449201763
10,non_gene,0.0024076760603589566
10,gene,0.0019869508579703258
15,tf,0.0020537324643244725
15,non_gene,0.0025582463083864628
15,gene,0.002086943366993535
5,tf,0.004073066862450058
5,non_gene,0.0012534502637707161
5,gene,0.004376677868560946
10,tf,0.0017671410366945682
10,non_gene,0.0015553984818730488
10,gene,0.0022217607631936196
15,tf,0.0012409873807127912
15,non_gene,0.0013661575351758232
15,gene,0.001296787712972976
5,tf,0.0016377315586074519
5,non_gene,0.008746523140222898
5,gene,0.007358679391374336
10,tf,0.001782217828136158
10,non_gene,0.0024231883318920648
10,gene,0.0022458729890810205
15,tf,0.001313209383266646
15,non_gene,0.001574384108278804
15,gene,0.001247550535921984
5,tf,0.00016867969009658069
5,non_gene,0.0014427263109043835
5,gene,0.00907213094314038
10,tf,0.00020029485089943417
10,non_gene,0.0016033517927877424
10,gene,0.002576572545225788
15,tf,0.00028183084266722924
15,non_gene,0.0010582721159278024
15,gene,0.001429390099157645
5,tf,0.008718503822134417
5,non_gene,0.001162536967800584
5,gene,0.003305848374411176
10,tf,0.0024176918017969158
10,non_gene,0.0014245881006774248
10,gene,0.0036857858292937413
15,tf,0.0015732987908723779
15,non_gene,0.0020523015202428036
15,gene,0.0024657760156195957
5,tf,0.003184656690531724
5,non_gene,0.0019422027248965743
5,gene,0.008169867363347742
10,tf,0.003958282449201763
10,non_gene,0.001716224778838173
10,gene,0.0023407775040525406
15,tf,0.0020537324643244725
15,non_gene,0.0013946770688272158
15,gene,0.0021404998306967355
5,tf,0.008718503822134417
5,non_gene,0.001162536967800584
5,gene,0.00311271147091914
10,tf,0.0024176918017969158
10,non_gene,0.0014245881006774248
10,gene,0.0025152301310967674
15,tf,0.0015732987908723779
15,non_gene,0.0020523015202428036
15,gene,0.0018259303170863421
5,tf,0.006102608117883518
5,non_gene,0.004494686689777293
5,gene,0.0025030121501756616
10,tf,0.002384842073467161
10,non_gene,0.0056362796584205855
10,gene,0.0010081601735319181
15,tf,0.0016258912459654463
15,non_gene,0.0027377748054880605
15,gene,0.0009974241212632592
5,tf,0.01250670737693361
5,non_gene,0.019691646573541197
5,gene,0.003105117545381934
10,tf,0.004229758221423301
10,non_gene,0.005758170291951836
