alpha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.05,1.0,0.19880119880119881,0.3206793206793207,0.1258741258741259,0.09290709290709291,0.05194805194805195,0.15584415584415584,0.2597402597402597,0.33466533466533466,0.37362637362637363,0.23576423576423577,0.31368631368631367,0.2547452547452547,0.4015984015984016,0.36063936063936064,0.3966033966033966,0.5804195804195804,0.5424575424575424,0.3676323676323676,0.2897102897102897
0.1,1.0,0.12987012987012986,0.3946053946053946,0.11788211788211789,0.056943056943056944,0.07092907092907093,0.07392607392607392,0.016983016983016984,0.005994005994005994,0.004995004995004995,0.00999000999000999,0.01998001998001998,0.022977022977022976,0.012987012987012988,0.015984015984015984,0.022977022977022976,0.04395604395604396,0.04795204795204795,0.06593406593406594,0.06993006993006994
0.25,1.0,0.996003996003996,0.977022977022977,0.6513486513486514,0.7012987012987013,0.7712287712287712,0.6923076923076923,0.5854145854145855,0.4305694305694306,0.5474525474525475,0.2967032967032967,0.4965034965034965,0.4805194805194805,0.5914085914085914,0.6153846153846154,0.5134865134865135,0.6443556443556444,0.6033966033966034,0.6943056943056943,0.7162837162837162
0.5,1.0,0.8141858141858141,0.8201798201798202,0.9140859140859141,0.6543456543456544,0.6673326673326674,0.6373626373626373,0.5744255744255744,0.4925074925074925,0.5394605394605395,0.7882117882117882,0.8041958041958042,0.8131868131868132,0.8531468531468531,0.8401598401598401,0.8231768231768232,0.8181818181818182,0.7262737262737263,0.6483516483516484,0.5304695304695305
