alpha,k,pval,fold_change
0.3791701260110827,24,0.5434565434565435,0.9722302543273225
0.3791701260110827,25,0.5444555444555444,0.9635815743702175
0.3791701260110827,26,0.4975024975024975,1.001402918639237
0.3791701260110827,27,0.5114885114885115,0.990163153256178
0.3791701260110827,28,0.5064935064935064,0.9931421420743982
0.3791701260110827,29,0.5044955044955045,0.9979217844274207
0.3791701260110827,30,0.5074925074925075,0.9964912751714557
0.3791701260110827,31,0.4975024975024975,1.0017140532206483
0.3791701260110827,32,0.5164835164835165,0.9909954019151044
0.3791701260110827,33,0.4835164835164835,1.0111090029613856
0.3791701260110827,34,0.45354645354645357,1.0274414275452664
0.3791701260110827,35,0.42857142857142855,1.0493428047361961
0.3791701260110827,36,0.3826173826173826,1.0723549832199912
0.3791701260110827,37,0.3836163836163836,1.0677208714165078
0.3791701260110827,38,0.35064935064935066,1.0860285441381357
0.3791701260110827,39,0.34065934065934067,1.1018703530699805
0.3791701260110827,40,0.3176823176823177,1.1155325782176209
0.3791701260110827,41,0.3226773226773227,1.105470864238368
0.3791701260110827,42,0.31368631368631367,1.116629294954775
0.3791701260110827,43,0.2887112887112887,1.1402838683818675
0.3791701260110827,44,0.2997002997002997,1.1273345343397005
0.3791701260110827,45,0.3036963036963037,1.1202800004704494
0.3791701260110827,46,0.2917082917082917,1.130751617651183
0.3791701260110827,47,0.26873126873126874,1.1513895243928562
0.3791701260110827,48,0.26173826173826176,1.1577581797138663
0.3791701260110827,49,0.2627372627372627,1.1604490247374164
0.3791701260110827,50,0.25774225774225773,1.1579726298691881
0.13779107384755526,3,0.6733266733266733,0.6642467782936984
0.13779107384755526,4,0.4935064935064935,1.0125366663258948
0.13779107384755526,5,0.42657342657342656,1.1667297875093368
0.13779107384755526,6,0.46653346653346656,1.057038945207792
0.13779107384755526,7,0.4195804195804196,1.141586971862354
0.13779107384755526,8,0.4145854145854146,1.1892697383938604
0.13779107384755526,9,0.5114885114885115,0.9811422743196406
0.13779107384755526,10,0.6023976023976024,0.9005331742797654
0.13779107384755526,11,0.43756243756243757,1.094771558652295
0.13779107384755526,12,0.4565434565434565,1.0762464453862564
0.13779107384755526,13,0.4125874125874126,1.1397491019464279
0.13779107384755526,14,0.3886113886113886,1.1801767439542927
0.13779107384755526,15,0.3966033966033966,1.1516419297435436
0.13779107384755526,16,0.4085914085914086,1.1169395341133033
0.13779107384755526,17,0.3626373626373626,1.1871007087030245
0.13779107384755526,18,0.3386613386613387,1.2034776978288715
0.13779107384755526,19,0.3256743256743257,1.1959948260875355
0.13779107384755526,20,0.36063936063936064,1.1456069488178648
0.13779107384755526,21,0.3646353646353646,1.1219528893732262
0.13779107384755526,22,0.3256743256743257,1.1586825216507795
0.13779107384755526,23,0.27472527472527475,1.2238095946734886
0.13779107384755526,24,0.26873126873126874,1.2312890263206933
0.13779107384755526,25,0.2977022977022977,1.1718602674087726
0.13779107384755526,26,0.24475524475524477,1.2413221069345537
0.13779107384755526,27,0.2707292707292707,1.1827082337497474
0.13779107384755526,28,0.2017982017982018,1.2592513990594738
0.13779107384755526,29,0.16483516483516483,1.3041488066994438
0.13779107384755526,30,0.15684315684315683,1.3062609964621408
0.13779107384755526,31,0.13786213786213786,1.3433416074096016
0.13779107384755526,32,0.13086913086913088,1.3403473683746578
0.13779107384755526,33,0.14385614385614387,1.3014321221173821
0.13779107384755526,34,0.15984015984015984,1.272256460373401
0.13779107384755526,35,0.18081918081918083,1.22875787695674
0.13779107384755526,36,0.17082917082917082,1.2425327525836278
0.13779107384755526,37,0.18581418581418582,1.2193342428076597
0.13779107384755526,38,0.18081918081918083,1.216082491829362
0.13779107384755526,39,0.1938061938061938,1.195234925553158
0.13779107384755526,40,0.20279720279720279,1.1852550246705469
0.13779107384755526,41,0.22677322677322678,1.1565915226998646
0.13779107384755526,42,0.1928071928071928,1.185773202451409
0.13779107384755526,43,0.2097902097902098,1.1747681296544172
0.13779107384755526,44,0.24575424575424576,1.1439360963904446
0.13779107384755526,45,0.22277722277722278,1.1574180729471486
0.13779107384755526,46,0.1968031968031968,1.175006879326062
0.13779107384755526,47,0.22377622377622378,1.151662622477224
0.13779107384755526,48,0.2517482517482518,1.1327690600938878
0.13779107384755526,49,0.2707292707292707,1.112563212883536
0.13779107384755526,50,0.2547452547452547,1.1198903715334505
0.6245061221186469,3,0.8471528471528471,0.45191555937128153
0.6245061221186469,4,0.6943056943056943,0.7779551762198177
0.6245061221186469,5,0.6413586413586414,0.8541483141837707
0.6245061221186469,6,0.6083916083916084,0.8969811059458239
0.6245061221186469,7,0.6113886113886113,0.9004939520587496
0.6245061221186469,8,0.6813186813186813,0.8488868003113339
0.6245061221186469,9,0.7182817182817183,0.8330528504702481
0.6245061221186469,10,0.6513486513486514,0.8863717743403088
0.6245061221186469,11,0.6413586413586414,0.8899752064225843
0.6245061221186469,12,0.6473526473526473,0.8902165693297007
0.6245061221186469,13,0.6883116883116883,0.8529182421485427
0.6245061221186469,14,0.7172827172827173,0.8425671304267044
0.6245061221186469,15,0.7322677322677322,0.836725801862795
0.6245061221186469,16,0.7782217782217782,0.8137027818331143
0.6245061221186469,17,0.8051948051948052,0.7938345475824738
0.6245061221186469,18,0.7902097902097902,0.8183593669845844
0.6245061221186469,19,0.8271728271728271,0.7989525071530241
0.6245061221186469,20,0.8101898101898102,0.8156732351898114
0.6245061221186469,21,0.8411588411588412,0.7994115810190472
0.6245061221186469,22,0.8191808191808192,0.8210129324641696
0.6245061221186469,23,0.8361638361638362,0.8204983073285956
0.6245061221186469,24,0.8381618381618382,0.8209666366279607
0.6245061221186469,25,0.8281718281718282,0.8341362096657542
0.6245061221186469,26,0.8161838161838162,0.8434255772413969
0.6245061221186469,27,0.8221778221778222,0.839691765229961
0.6245061221186469,28,0.8481518481518482,0.8251245083678412
0.6245061221186469,29,0.8701298701298701,0.8047594686704518
0.6245061221186469,30,0.8771228771228772,0.799544062833295
0.6245061221186469,31,0.8741258741258742,0.8090959927019864
0.6245061221186469,32,0.8611388611388612,0.8261435537847512
0.6245061221186469,33,0.8591408591408591,0.8287300707077367
0.6245061221186469,34,0.8381618381618382,0.8541119646041058
0.6245061221186469,35,0.8091908091908092,0.86493939290427
0.6245061221186469,36,0.7962037962037962,0.8693299791560556
0.6245061221186469,37,0.8051948051948052,0.8702698927346177
0.6245061221186469,38,0.7842157842157842,0.8777137442701352
0.6245061221186469,39,0.7922077922077922,0.8800197718367003
0.6245061221186469,40,0.8051948051948052,0.8805691858741193
0.6245061221186469,41,0.7712287712287712,0.8942199337701409
0.6245061221186469,42,0.7762237762237763,0.8923470975249571
0.6245061221186469,43,0.7512487512487512,0.9081238039889451
0.6245061221186469,44,0.7422577422577422,0.91604791953512
0.6245061221186469,45,0.7872127872127872,0.9010891236535461
0.6245061221186469,46,0.8041958041958042,0.8900549175927148
0.6245061221186469,47,0.8081918081918081,0.8846693999868505
0.6245061221186469,48,0.8121878121878122,0.8905663993457532
0.6245061221186469,49,0.7882117882117882,0.9044658344323968
0.6245061221186469,50,0.7882117882117882,0.9025752884142054
0.5694170074521765,3,0.6123876123876124,0.830135848541627
0.5694170074521765,4,0.45454545454545453,1.0665069885234484
0.5694170074521765,5,0.4175824175824176,1.124470150832617
0.5694170074521765,6,0.4435564435564436,1.0726343256441833
0.5694170074521765,7,0.4075924075924076,1.1219848243562136
0.5694170074521765,8,0.44955044955044954,1.05431056914794
0.5694170074521765,9,0.4035964035964036,1.139434399221895
0.5694170074521765,10,0.44155844155844154,1.0695671597666907
0.5694170074521765,11,0.33466533466533466,1.3036771465341763
0.5694170074521765,12,0.3206793206793207,1.3261154282091299
0.5694170074521765,13,0.2897102897102897,1.4092273799448387
0.5694170074521765,14,0.32367632367632365,1.2513044220299854
0.5694170074521765,15,0.37662337662337664,1.1454286549937196
0.5694170074521765,16,0.4195804195804196,1.081856287219493
0.5694170074521765,17,0.3986013986013986,1.1087660572871225
0.5694170074521765,18,0.4075924075924076,1.0983945930217955
0.5694170074521765,19,0.3626373626373626,1.1509418287552344
0.5694170074521765,20,0.3886113886113886,1.1113594923793506
0.5694170074521765,21,0.35264735264735264,1.1691319463153165
0.5694170074521765,22,0.34665334665334663,1.1698750396073299
0.5694170074521765,23,0.2937062937062937,1.24011025099839
0.5694170074521765,24,0.2967032967032967,1.2146484633122916
0.5694170074521765,25,0.3176823176823177,1.178624816587324
0.5694170074521765,26,0.2647352647352647,1.2363818368317239
0.5694170074521765,27,0.28471528471528473,1.208570467081968
0.5694170074521765,28,0.27372627372627373,1.204954652241947
0.5694170074521765,29,0.2807192807192807,1.1811542876860563
0.5694170074521765,30,0.2827172827172827,1.1691687288905945
0.5694170074521765,31,0.28771228771228774,1.1564691925365909
0.5694170074521765,32,0.3256743256743257,1.1228486967152815
0.5694170074521765,33,0.36063936063936064,1.0924112843531104
0.5694170074521765,34,0.3926073926073926,1.060237532386474
0.5694170074521765,35,0.34765234765234765,1.090728888392685
0.5694170074521765,36,0.3336663336663337,1.10127989574173
0.5694170074521765,37,0.3276723276723277,1.103193611372133
0.5694170074521765,38,0.3146853146853147,1.114160711240954
0.5694170074521765,39,0.3206793206793207,1.1050765981027475
0.5694170074521765,40,0.33166833166833165,1.0937675150525106
0.5694170074521765,41,0.33666333666333664,1.090302438313528
0.5694170074521765,42,0.3026973026973027,1.1108859192089025
0.5694170074521765,43,0.32667332667332666,1.1009511686945108
0.5694170074521765,44,0.32167832167832167,1.0998216489142947
0.5694170074521765,45,0.3156843156843157,1.0989940096213107
0.5694170074521765,46,0.34965034965034963,1.0694553165734415
0.5694170074521765,47,0.36663336663336665,1.0587165407815036
0.5694170074521765,48,0.3626373626373626,1.0620617970417106
0.5694170074521765,49,0.3776223776223776,1.0538327815991166
0.5694170074521765,50,0.34565434565434566,1.0676819424913007
0.7416167071235865,3,0.42857142857142855,1.13410382533936
0.7416167071235865,4,0.31368631368631367,1.2979240793209692
0.7416167071235865,5,0.22777222777222778,1.806650284511435
0.7416167071235865,6,0.2517482517482518,1.4997159115175824
0.7416167071235865,7,0.27372627372627373,1.3803652475778774
0.7416167071235865,8,0.36663336663336665,1.1751688047283666
0.7416167071235865,9,0.3726273726273726,1.1637097582885205
0.7416167071235865,10,0.36863136863136864,1.1394238053376053
0.7416167071235865,11,0.46553446553446554,1.0295406206817872
0.7416167071235865,12,0.4165834165834166,1.072050463507511
0.7416167071235865,13,0.5134865134865135,0.9942163587224447
0.7416167071235865,14,0.4085914085914086,1.0783605332434845
0.7416167071235865,15,0.46253746253746253,1.029510504734425
0.7416167071235865,16,0.3646353646353646,1.11692387507809
0.7416167071235865,17,0.3826173826173826,1.0852662496024887
0.7416167071235865,18,0.3866133866133866,1.0824973463487753
0.7416167071235865,19,0.34765234765234765,1.1254443573232322
0.7416167071235865,20,0.2757242757242757,1.20361665654554
0.7416167071235865,21,0.24775224775224775,1.229419596687484
0.7416167071235865,22,0.2757242757242757,1.176753284030677
0.7416167071235865,23,0.22977022977022976,1.2331274858553818
0.7416167071235865,24,0.21178821178821178,1.2620925642709806
0.7416167071235865,25,0.21578421578421578,1.251261742265752
0.7416167071235865,26,0.21578421578421578,1.2233520235770268
0.7416167071235865,27,0.23376623376623376,1.1882620677015383
0.7416167071235865,28,0.13186813186813187,1.3588711048814606
0.7416167071235865,29,0.1108891108891109,1.3900536455454453
0.7416167071235865,30,0.13686313686313686,1.3271672623435782
0.7416167071235865,31,0.11588411588411589,1.3426046062695942
0.7416167071235865,32,0.13686313686313686,1.2939356781179576
0.7416167071235865,33,0.14685314685314685,1.2812344563029627
0.7416167071235865,34,0.16583416583416583,1.2415156815148316
0.7416167071235865,35,0.18581418581418582,1.2072597927814368
0.7416167071235865,36,0.18581418581418582,1.1972698360945497
0.7416167071235865,37,0.2047952047952048,1.178178377135265
0.7416167071235865,38,0.2177822177822178,1.165214728681866
0.7416167071235865,39,0.23476523476523475,1.151566505697712
0.7416167071235865,40,0.2547452547452547,1.1286353601052626
0.7416167071235865,41,0.27172827172827174,1.1097436985858014
0.7416167071235865,42,0.2907092907092907,1.0923582064967516
0.7416167071235865,43,0.3086913086913087,1.088095023013726
0.7416167071235865,44,0.32867132867132864,1.0747631682450183
0.7416167071235865,45,0.32667332667332666,1.0693772502487504
0.7416167071235865,46,0.3676323676323676,1.0552282906145924
0.7416167071235865,47,0.3806193806193806,1.047645638433251
0.7416167071235865,48,0.3786213786213786,1.048305317775093
0.7416167071235865,49,0.31368631368631367,1.0800559204138263
0.7416167071235865,50,0.33966033966033965,1.0646282641421534
0.10469099238830282,3,0.4965034965034965,1.0096249096981338
0.10469099238830282,4,0.6443556443556444,0.7739510808977125
0.10469099238830282,5,0.7832167832167832,0.6022178809170338
0.10469099238830282,6,0.7712287712287712,0.6869844675649839
0.10469099238830282,7,0.7442557442557443,0.7204991378607356
0.10469099238830282,8,0.8261738261738262,0.6485845986638717
0.10469099238830282,9,0.8141858141858141,0.6886159963591696
0.10469099238830282,10,0.7262737262737263,0.7771435561855788
0.10469099238830282,11,0.6743256743256744,0.8276313213009616
0.10469099238830282,12,0.7082917082917083,0.8152612806959688
0.10469099238830282,13,0.7952047952047953,0.7534436417468783
0.10469099238830282,14,0.8041958041958042,0.7514389435302813
0.10469099238830282,15,0.7882117882117882,0.7683439170449854
0.10469099238830282,16,0.8101898101898102,0.7571982669232649
0.10469099238830282,17,0.8301698301698301,0.7527896930529498
0.10469099238830282,18,0.8131868131868132,0.7746064165398989
0.10469099238830282,19,0.8411588411588412,0.7623883964290586
0.10469099238830282,20,0.7312687312687313,0.8559849078499109
0.10469099238830282,21,0.6843156843156843,0.8940801672406358
0.10469099238830282,22,0.6273726273726273,0.928582452859468
0.10469099238830282,23,0.5304695304695305,0.9806849956331911
0.10469099238830282,24,0.5934065934065934,0.9470233853915284
0.10469099238830282,25,0.5724275724275725,0.9548223736244136
0.10469099238830282,26,0.5784215784215784,0.9559709233919581
0.10469099238830282,27,0.6393606393606394,0.9220049519929742
0.10469099238830282,28,0.6363636363636364,0.9269424361008831
0.10469099238830282,29,0.6423576423576424,0.924403400947865
0.10469099238830282,30,0.6773226773226774,0.9125371671706576
0.10469099238830282,31,0.6343656343656343,0.9318688760984595
0.10469099238830282,32,0.5504495504495505,0.9734126173518484
0.10469099238830282,33,0.6233766233766234,0.9469653903938597
0.10469099238830282,34,0.6283716283716284,0.9477408727572245
0.10469099238830282,35,0.5374625374625375,0.981956344854206
0.10469099238830282,36,0.5134865134865135,0.995686888986886
0.10469099238830282,37,0.5494505494505495,0.9743988972462334
0.10469099238830282,38,0.5314685314685315,0.9864261451598278
0.10469099238830282,39,0.5074925074925075,0.9989441226378245
0.10469099238830282,40,0.4955044955044955,1.0016933159086123
0.10469099238830282,41,0.4865134865134865,1.011174421888854
0.10469099238830282,42,0.45054945054945056,1.0200308702696008
0.10469099238830282,43,0.5034965034965035,0.9982397025765151
0.10469099238830282,44,0.48451548451548454,1.007414479143589
0.10469099238830282,45,0.5184815184815185,0.994335696426028
0.10469099238830282,46,0.44955044955044954,1.0216757277372819
0.10469099238830282,47,0.41858141858141856,1.0349400029958893
0.10469099238830282,48,0.4225774225774226,1.030569827067052
0.10469099238830282,49,0.46253746253746253,1.014580979122918
0.10469099238830282,50,0.4275724275724276,1.0254739736005605
0.8197685789804561,3,0.23976023976023977,1.6030754398307385
0.8197685789804561,4,0.2707292707292707,1.4097610648729897
0.8197685789804561,5,0.3786213786213786,1.1467800947794213
0.8197685789804561,6,0.38961038961038963,1.1078851952969404
0.8197685789804561,7,0.3806193806193806,1.1090921910567222
0.8197685789804561,8,0.4695304695304695,1.0239477570344109
0.8197685789804561,9,0.6083916083916084,0.9096858105475109
0.8197685789804561,10,0.6383616383616384,0.9014174162646127
0.8197685789804561,11,0.5674325674325674,0.9489384368749382
0.8197685789804561,12,0.4435564435564436,1.0475744337278758
0.8197685789804561,13,0.39760239760239763,1.069422998718094
0.8197685789804561,14,0.4075924075924076,1.0616559245803547
0.8197685789804561,15,0.3996003996003996,1.0701613117098452
0.8197685789804561,16,0.5324675324675324,0.9825883895772664
0.8197685789804561,17,0.5354645354645354,0.9818877628485446
0.8197685789804561,18,0.5444555444555444,0.9799713480698486
0.8197685789804561,19,0.5414585414585414,0.978574718236882
0.8197685789804561,20,0.6423576423576424,0.940485183008896
0.8197685789804561,21,0.6623376623376623,0.9244505923692163
0.8197685789804561,22,0.6163836163836164,0.9501546084343123
0.8197685789804561,23,0.7002997002997003,0.9128525670519997
0.8197685789804561,24,0.5964035964035964,0.9510897036854368
0.8197685789804561,25,0.5594405594405595,0.9708800258059221
0.8197685789804561,26,0.4905094905094905,1.0027017897318071
0.8197685789804561,27,0.42857142857142855,1.0327335359643253
0.8197685789804561,28,0.3516483516483517,1.0787006061146647
0.8197685789804561,29,0.2977022977022977,1.112702173773321
0.8197685789804561,30,0.3336663336663337,1.0905465117251814
0.8197685789804561,31,0.33666333666333664,1.084994798855763
0.8197685789804561,32,0.3906093906093906,1.0551167258753373
0.8197685789804561,33,0.3166833166833167,1.0998251285838294
0.8197685789804561,34,0.37462537462537465,1.0629992146712988
0.8197685789804561,35,0.33466533466533466,1.0807615176481153
0.8197685789804561,36,0.3516483516483517,1.0702754663413678
0.8197685789804561,37,0.3646353646353646,1.064624021568118
0.8197685789804561,38,0.34265734265734266,1.0804857892940527
0.8197685789804561,39,0.2867132867132867,1.1141514251634972
0.8197685789804561,40,0.28471528471528473,1.1112974231844965
0.8197685789804561,41,0.3226773226773227,1.0909164918570464
0.8197685789804561,42,0.26673326673326675,1.1233480183938924
0.8197685789804561,43,0.23576423576423577,1.1372381944315897
0.8197685789804561,44,0.26073926073926074,1.1174663283035122
0.8197685789804561,45,0.22777222777222778,1.1396394187571415
0.8197685789804561,46,0.24075924075924077,1.1296015615519175
0.8197685789804561,47,0.28771228771228774,1.1066375781922135
0.8197685789804561,48,0.3256743256743257,1.0777871804100077
0.8197685789804561,49,0.2917082917082917,1.0984423567008361
0.8197685789804561,50,0.27472527472527475,1.1099732153783242
0.9114357414292257,3,0.12287712287712288,1.9955543251242769
0.9114357414292257,4,0.08291708291708291,2.6144915498253556
0.9114357414292257,5,0.10589410589410589,1.8547373923175612
