alpha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.05,1.0,0.6391360863913609,0.4082591740825917,0.7510248975102489,0.9127087291270873,0.7958204179582041,0.6567343265673433,0.7937206279372063,0.8367163283671633,0.9157084291570843,0.9739026097390261,0.9788021197880212,0.9758024197580242,0.922007799220078,0.8968103189681031,0.8907109289071092,0.8520147985201479,0.7662233776622338,0.7241275872412759,0.791920807919208
0.1,1.0,1.0,0.9466053394660534,0.9608039196080392,0.8791120887911209,0.9298070192980702,0.9151084891510849,0.6162383761623837,0.278972102789721,0.25107489251074894,0.25517448255174485,0.3103689631036896,0.24637536246375363,0.18908109189081093,0.19018098190180982,0.17348265173482652,0.17488251174882513,0.26477352264773524,0.3845615438456154,0.41145885411458855
0.25,1.0,0.43565643435656437,0.39856014398560147,0.1780821917808219,0.1668833116688331,0.4707529247075293,0.0585941405859414,0.029897010298970104,0.038396160383961604,0.0433956604339566,0.0053994600539946005,0.0071992800719928,0.017198280171982803,0.0112988701129887,0.0198980101989801,0.0402959704029597,0.0124987501249875,0.008599140085991401,0.010498950104989501,0.0201979802019798
0.5,1.0,0.29687031296870314,0.6124387561243876,0.6188381161883811,0.7018298170182982,0.44285571442855715,0.4520547945205479,0.3177682231776822,0.39746025397460255,0.5392460753924607,0.591940805919408,0.7006299370062994,0.6239376062393761,0.6140385961403859,0.43525647435256476,0.5981401859814018,0.503949605039496,0.6064393560643936,0.49935006499350065,0.44065593440655937
