alpha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.05,1.0,0.24706263149376922,0.5277876679074284,0.7101149053244862,0.8452500404596213,0.593364622107137,0.6992069914225603,0.685806764848681,0.7645573717430005,0.715293736850623,0.7727140313966662,0.8002913092733452,0.8105842369315424,0.8380644117171063,0.8537627447807089,0.8746399093704483,0.8645735555915197,0.8756756756756757,0.8832173490856126,0.8681016345687005,0.7862113610616605,0.7999028969088849,0.76141770513028,0.7540378702055349,0.7622916329503155,0.7756271241301181,0.7052597507687328,0.7078815342288396,0.723385661110212,0.7379187570804338,0.7525813238388088,0.7655284026541511,0.7630684576792361,0.7648486810163457,0.7779575983168797,0.7693154232076388,0.77834601068134,0.7694125262987539,0.7350056643469817,0.749862437287587,0.7652370933808059,0.7749150347952743,0.7898365431299563,0.798996601391811,0.8109726492960025,0.7796407185628742,0.7931380482278686,0.7870205534876193,0.7966013918109727,0.7935911959864056
0.1,1.0,0.4180288072503641,0.6621783460106814,0.4111344877811944,0.3513837190483897,0.41919404434374496,0.480530830231429,0.5363327399255543,0.5896423369477262,0.5973458488428548,0.5915520310729891,0.5920699142256028,0.5793170415924906,0.5798672924421427,0.5276905648163133,0.5552678426929923,0.5916815018611425,0.6126881372390355,0.6060203916491341,0.6100339860818903,0.5800614986243728,0.5801262340184495,0.5704806603010196,0.5681501861142579,0.5754976533419647,0.5876031720343098,0.5906457355559152,0.5746884609160058,0.580255704806603,0.5747531963100826,0.5733290176403949,0.5904838970707235,0.5989318659977343,0.6101958245670821,0.604822786858715,0.597540055025085,0.5911959864055673,0.5916815018611425,0.5925554296811781,0.6022010033986082,0.5940119760479042,0.5991584398770028,0.6085774397151643,0.6131736526946108,0.6118142094189999,0.613464961967956,0.6048875222527917,0.5894804984625344,0.5964071856287425,0.5839132545719372
0.25,1.0,0.5255219291147435,0.2782650914387441,0.1549765334196472,0.1845606085127043,0.2588768409127691,0.23877650105195014,0.21579543615471758,0.2160867454280628,0.21450072827318337,0.22977828127528727,0.23414792037546528,0.23910017802233371,0.2427577277876679,0.2312024599449749,0.23311215407023791,0.25816475157792523,0.2572584560608513,0.2553163942385499,0.2573879268490047,0.2523385661110212,0.25528402654151156,0.23842045638452825,0.2555429681178184,0.26340831849813884,0.27224469978960997,0.25648163133193075,0.26062469655284026,0.23861466256675837,0.24486162809516102,0.2331768894643146,0.23854992717268167,0.2319469169768571,0.23094351836866808,0.22971354588121054,0.23372714031396666,0.23356530182877488,0.2342773911636187,0.23159087230943518,0.23126719533905163,0.2211361061660463,0.2194529859200518,0.21935588282893673,0.21919404434374495,0.22547337756918595,0.230846415277553,0.2314290338242434,0.22796569024113933,0.22453471435507363,0.2171872471273669
0.5,1.0,0.5440038841236446,0.2659977342612073,0.23702864541187896,0.14384204563845282,0.20381938825052598,0.16598155041268814,0.15691859524194854,0.18799158439877003,0.17158116200032367,0.20229810648972327,0.19090467713222203,0.19508011005016992,0.18294222366078652,0.17297297297297298,0.1844958731186276,0.18818579058100016,0.1837837837837838,0.1845606085127043,0.186988185790581,0.1886713060365755,0.19618061174947402,0.19614824405243567,0.19022495549441656,0.1861142579705454,0.17643631655607703,0.18061174947402492,0.17776339213464962,0.175432917947888,0.17497977018935104,0.17824890759022496,0.18203592814371258,0.1791552031072989,0.18433403463343584,0.18349247451043857,0.1829745913578249,0.1891891891891892,0.18893024761288235,0.18702055348761937,0.17905810001618386,0.1768247289205373,0.1747208286130442,0.16562550574526622,0.1652047256837676,0.16115876355397313,0.16209742676808545,0.16093218967470466,0.16400712089334843,0.1643955332578087,0.16692021362680046
