alpha,size,pval,fold
0.05,1,1.0,
0.05,2,0.6391360863913609,0.7217348575613396
0.05,3,0.4082591740825917,1.1296407628073424
0.05,4,0.7510248975102489,0.7163063937198159
0.05,5,0.9127087291270873,0.5498563808621111
0.05,6,0.7958204179582041,0.7353473990987532
0.05,7,0.6567343265673433,0.8726452271507648
0.05,8,0.7937206279372063,0.7760529172361662
0.05,9,0.8367163283671633,0.7513741347059848
0.05,10,0.9157084291570843,0.6831792894423125
0.05,11,0.9739026097390261,0.6052987587892784
0.05,12,0.9788021197880212,0.6074963087809403
0.05,13,0.9758024197580242,0.6275290201709441
0.05,14,0.922007799220078,0.7251511109276464
0.05,15,0.8968103189681031,0.7582855662307788
0.05,16,0.8907109289071092,0.7741542684371997
0.05,17,0.8520147985201479,0.8100929084905817
0.05,18,0.7662233776622338,0.8668364422524925
0.05,19,0.7241275872412759,0.8922518413669913
0.05,20,0.791920807919208,0.859137263307265
0.1,1,1.0,
0.1,2,1.0,0.0
0.1,3,0.9466053394660534,0.3382518459707677
0.1,4,0.9608039196080392,0.3982562039416648
0.1,5,0.8791120887911209,0.6273686054966761
0.1,6,0.9298070192980702,0.5838771614419198
0.1,7,0.9151084891510849,0.6286247559704842
0.1,8,0.6162383761623837,0.9162829990781335
0.1,9,0.278972102789721,1.1729944563662111
0.1,10,0.25107489251074894,1.192669762776873
0.1,11,0.25517448255174485,1.1719076006535132
0.1,12,0.3103689631036896,1.1256936077347193
0.1,13,0.24637536246375363,1.166189104334882
0.1,14,0.18908109189081093,1.2159980700069948
0.1,15,0.19018098190180982,1.205966325573506
0.1,16,0.17348265173482652,1.2143841006934057
0.1,17,0.17488251174882513,1.2059888459929387
0.1,18,0.26477352264773524,1.1323704184942869
0.1,19,0.3845615438456154,1.0571322645365957
0.1,20,0.41145885411458855,1.0432514492836957
0.25,1,1.0,
0.25,2,0.43565643435656437,1.1098177201232113
0.25,3,0.39856014398560147,1.113882184948528
0.25,4,0.1780821917808219,1.3686697795562233
0.25,5,0.1668833116688331,1.3498707925397875
0.25,6,0.4707529247075293,1.0226786799012462
0.25,7,0.0585941405859414,1.5542265349548798
0.25,8,0.029897010298970104,1.679270101698103
0.25,9,0.038396160383961604,1.5952697240480476
0.25,10,0.0433956604339566,1.538283804673997
0.25,11,0.0053994600539946005,1.9139638262441414
0.25,12,0.0071992800719928,1.7986675386618234
0.25,13,0.017198280171982803,1.612990090151485
0.25,14,0.0112988701129887,1.6464055749367024
0.25,15,0.0198980101989801,1.5503451309352396
0.25,16,0.0402959704029597,1.4236186077625446
0.25,17,0.0124987501249875,1.5646533176476194
0.25,18,0.008599140085991401,1.593113132120147
0.25,19,0.010498950104989501,1.5416798078269232
0.25,20,0.0201979802019798,1.4528281830135867
0.5,1,1.0,
0.5,2,0.29687031296870314,1.2949355432619696
0.5,3,0.6124387561243876,0.8826652535883426
0.5,4,0.6188381161883811,0.891051607722095
0.5,5,0.7018298170182982,0.8397510818933519
0.5,6,0.44285571442855715,1.0392634018229971
0.5,7,0.4520547945205479,1.0387257868071458
0.5,8,0.3177682231776822,1.136271845043067
0.5,9,0.39746025397460255,1.067220226945605
0.5,10,0.5392460753924607,0.9739676668284953
0.5,11,0.591940805919408,0.9479190579431332
0.5,12,0.7006299370062994,0.8889510828494614
0.5,13,0.6239376062393761,0.936510429830433
0.5,14,0.6140385961403859,0.9421445853516605
0.5,15,0.43525647435256476,1.0355409509470173
0.5,16,0.5981401859814018,0.9522361448343384
0.5,17,0.503949605039496,0.9979465852800838
0.5,18,0.6064393560643936,0.9486137295333106
0.5,19,0.49935006499350065,1.0003679924337834
0.5,20,0.44065593440655937,1.0267924408659574
